#ncbi_taxid,cluster_id,AB030
470,CL:704,IX87_13990
470,CL:704,IX87_00400
470,CL:704,IX87_06200
470,CL:704,IX87_06865
470,CL:704,IX87_07945
470,CL:704,IX87_08840
470,CL:704,IX87_09070
470,CL:704,IX87_12815
470,CL:704,IX87_12830
470,CL:704,IX87_12835
470,CL:704,IX87_12840
470,CL:704,IX87_12845
470,CL:704,IX87_12850
470,CL:704,IX87_12855
470,CL:704,IX87_13685
470,CL:704,IX87_13690
470,CL:704,IX87_13695
470,CL:704,IX87_13700
470,CL:704,IX87_13705
470,CL:704,IX87_13710
470,CL:704,IX87_14030
470,CL:704,IX87_14820
470,CL:704,IX87_15070
470,CL:704,IX87_15740
470,CL:704,IX87_15780
470,CL:704,IX87_15785
470,CL:704,IX87_16450
470,CL:704,IX87_17660
470,CL:704,IX87_18325
470,CL:704,IX87_20930
