sample	all_matches	all_reads	all_matches_proportion
AC37	704	2140	0.328972
AC61	364	1090	0.333945
AC62	997	3090	0.322654
AC63	525	1666	0.315126
AC64	814	2332	0.349057
AC65	1254	3590	0.349304
AC66	1104	3420	0.322807
AC67	329	1066	0.30863
AC68	467	1376	0.33939
AC69	1168	3400	0.343529
AC70	2179	6088	0.357917
AC71	385	1084	0.355166
AC72	524	1390	0.376978
AC73	676	2035	0.332187
AC74	576	1934	0.297828
AC75	529	1511	0.350099
AC76	875	2720	0.321691
AC77	854	2655	0.321657
AC78	2895	8454	0.342441
AC79	1987	5503	0.361076
AC80	710	2054	0.345667
#File	0	2115	0
