sample	all_matches	all_reads	all_matches_proportion
AC1	1797	4032	0.445685
AC2	3884	7724	0.502848
AC3	892	1884	0.473461
AC4	5317	11835	0.449261
AC5	704	1917	0.36724
AC6	2070	4767	0.434235
AC7	1024	2347	0.436302
AC8	92	321	0.286604
AC9	1548	3573	0.433249
AC10	4785	11039	0.433463
AC11	1611	3929	0.410028
AC12	2193	4528	0.48432
AC13	190	568	0.334507
AC14	179	535	0.334579
AC15	645	1518	0.424901
AC16	441	1268	0.347792
AC17	7509	15381	0.4882
AC18	2598	5365	0.48425
AC19	1838	3428	0.536173
AC20	1343	2543	0.528116
