Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
Time [s]	0	408.2	816.4	1224.6	1632.8	2041	2449.2	2857.4	3265.6	3673.8	4082	4490.2	4898.4	5306.6	5714.8	6123	6531.2	6939.4	7347.6	7755.8	8164	8572.2	8980.4	9388.6	9796.8	10205	10613.2	11021.4	11429.6	11837.8	12246	12654.2	13062.4	13470.6	13878.8	14287	14695.2	15103.4	15511.6	15919.8	16328	16736.2	17144.4	17552.6	17960.8	18369	18777.2	19185.4	19593.6	20001.8	20410	20818.2	21226.4	21634.6	22042.9	22451	22859.2	23267.4	23675.6	24083.8	24492	24900.2	25308.4	25716.6	26124.8	26533	26941.2	27349.4	27757.6	28165.8	28574	28982.2	29390.4	29798.6	30206.8	30615	31023.2	31431.4	31839.6	32247.8	32656	33064.2	33472.4	33880.6	34288.8	34697.1	35105.3	35513.5	35921.7	36329.9	36738.1	37146.3	37554.5	37962.7	38370.9	38779.1	39187.3	39595.5	40003.7	40411.9	40820.1	41228.3	41636.5	42044.7	42452.9	42861.1	43269.2	43677.5	44085.7	44493.9	44902	45310.2	45718.4	46126.6	46534.8	46943	47351.3	47759.5	48167.7	48575.9	48984.1	49392.3	49800.5	50208.7	50616.9	51025.1	51433.2	51841.5	52249.6	52657.9	53066	53474.2	53882.5	54290.7	54698.9	55107.1	55515.3	55923.5	56331.7	56739.8	57148	57556.3	57964.5	58372.7	58780.8	59189.1	59597.2	60005.5	60413.7	60821.9	61230.1	61638.2	62046.4	62454.7	62862.9	63271.1	63679.3	64087.5	64495.7	64903.9	65312.1	65720.3	66128.5	66536.7	66945	67353.2	67761.4	68169.6	68577.8	68986	69394.2	69802.4	70210.6	70618.8	71027	71435.2	71843.4	72251.6	72659.8	73068
Temp. [°C]	35	36.5	37.2	37.2	36.7	37.5	36.7	37.4	37.5	37.2	37.1	37.3	37.5	37.6	36.8	37.2	37.6	36.8	37.6	36.8	37.5	36.8	37.7	37	37.6	37.4	36.8	37.7	37.3	36.8	37.7	37.1	37.2	37.6	37	37.6	37.4	36.8	37.7	37.1	37.6	37.3	37	37.6	36.8	37.6	36.8	37.7	36.8	37.7	36.8	37.6	36.8	37.6	36.8	37.5	37	37.4	37.3	37.3	37.5	37.1	37.7	36.9	37.6	36.8	37.4	37.4	37.2	37.7	36.9	37.6	37	37.3	37.6	37	37.6	36.8	37.4	37.3	37.1	37.6	36.8	37.4	37.5	37.1	37.6	36.9	37.3	37.6	36.9	37.6	37.3	37.1	37.7	36.8	37.3	37.6	36.9	37.5	37.5	37	37.6	37.1	37.1	37.6	36.9	37.2	37.6	36.8	37.3	37.6	36.8	37.3	37.6	36.8	37.1	37.6	37.1	37.2	37.6	36.9	37.1	37.6	37.2	37	37.6	37.1	37	37.6	37.4	37	37.6	37.5	36.9	37.4	37.6	36.8	37.3	37.6	36.8	37.4	37.6	37	37.7	36.8	37.4	37.4	37.2	37.6	37.2	37.6	37.2	37.5	37.3	37.3	37.4	36.9	37.6	36.9	37.7	37.1	37.5	37.3	37.1	37.6	36.8	37.7	37.1	37.6	37.4	37	37.6	36.8	37.6	37.1	37.6	37.4	37	37.6
A1	10082	9788	10016	9326	9217	9136	8888	8929	9040	8601	8677	8577	8745	8806	8889	8824	8764	8599	8893	8996	9351	9509	9799	10210	10505	10769	11009	11742	11893	12302	13125	12894	14065	14133	14716	15155	15164	15717	15648	16067	16485	16675	17063	17150	17704	18056	17778	18307	18501	18800	18837	19444	19673	20110	21108	21127	21053	21707	22131	22594	22773	23089	23409	23402	23997	24379	24938	24884	25710	26021	26655	27344	27339	27995	27829	28512	29004	28990	30489	29617	30153	30415	30986	31680	32291	32132	33019	33321	33244	33686	34092	33902	34811	34785	34637	35843	36160	36252	36766	37070	36844	36923	37583	38462	38574	38905	38833	39429	39786	40008	40389	40997	41203	41365	41674	41131	42263	42397	42913	43589	43404	43139	43425	42882	44146	45322	45085	45217	45259	45568	45550	45884	46463	46119	46339	46269	47407	46750	47460	47865	47590	47934	48204	47637	47928	47956	48998	48527	48950	48465	49579	49737	49003	50988	50050	49697	50243	50592	50178	50459	50725	50929	51060	51777	51572	51772	51958	52603	52100	52600	52704	52995	52987	53256	53920	53725	54867	54332	54447	55127
A2	10086	9891	9806	9892	9384	9531	9369	9141	8956	9112	9022	8805	9088	8953	9012	9247	9353	9020	9478	9770	10222	10195	10511	10772	11414	11880	12327	12571	13375	13584	14226	14437	15020	14811	15383	16104	15976	16226	16815	16774	17065	17382	17592	17794	18266	18369	18734	18905	19352	19412	19317	20377	20472	20869	21108	21396	22245	22056	22847	22839	23689	23442	24412	24278	25294	25424	25635	26194	27067	26712	27537	27701	28193	29004	28695	29549	30112	30316	30366	31184	31458	31766	32661	32742	32366	33143	32992	33939	34338	35027	35123	35808	36159	36062	36577	36674	37381	37871	37724	38243	38496	38558	39118	39225	39631	40202	40691	40427	40775	41664	41265	42252	42576	43358	42989	43287	43167	43542	44630	44784	44917	45363	45719	46285	46210	46016	46455	46768	47436	47302	47762	48404	48097	48105	48436	49021	49558	49751	49780	49903	50779	50015	50911	50361	51437	51281	51669	52588	52258	52473	52399	52319	52315	52733	53888	53256	53692	53858	53609	53908	54859	54813	54952	55041	54657	55807	54686	55948	55592	55636	56026	55757	55836	56453	57098	56583	56575	56820	56677	57941
A3	9724	9404	9234	9249	8908	8434	8600	8443	8458	8570	8471	8141	8517	8444	8679	8249	8631	8471	8623	8665	9301	9318	9414	9737	9728	9967	10367	11012	11109	11444	12015	12475	13021	13451	13399	14182	14760	14622	15125	15397	16302	15863	16566	16291	16765	16934	17252	17612	17452	18105	18474	18237	18982	18706	19658	19794	20562	20343	20733	20923	22137	21915	22038	22468	22877	23380	24152	24813	24372	25323	25689	25981	26252	26645	26638	27637	27770	27913	28494	29017	29141	29147	29864	30415	31015	31567	31815	31351	32405	32348	33431	33474	34210	34131	34227	34823	34679	35526	35442	36736	36913	37522	37520	38146	37838	38392	39744	39202	38903	39663	40412	40643	41658	41313	41673	42475	42635	43296	43563	43777	44047	44473	45930	45288	45718	45713	46135	46256	47042	46931	47099	48182	47935	48684	49415	48932	49057	48674	50047	50288	51114	49970	50883	50900	51466	51547	52498	52719	51646	53000	52921	53419	53380	53341	53540	54266	54755	54733	55030	55530	55756	55187	55646	56192	56200	55702	55807	57133	57902	57144	57253	57420	57354	58122	58231	57804	57734	58070	59236	58000
A4	9932	9713	9363	9326	9423	9363	9855	9675	9646	9570	9305	9627	9268	9477	9593	9182	9427	9273	9190	9348	9305	9060	9094	9278	9229	8927	8938	8910	8925	8915	8762	9152	9081	8734	8938	9053	8877	8735	8747	9081	8958	9033	8856	8816	8861	8842	8680	8827	8598	8989	8971	9287	8963	9085	9143	8939	8939	9033	8945	9247	9098	9035	9159	8918	9219	9227	9153	8909	8949	9067	9208	9327	9173	8889	9193	9132	9092	9401	9555	9239	9574	9483	9379	9101	9331	9470	9585	9394	9137	9281	9235	9623	9495	9597	9451	9548	9502	9426	9402	9415	9399	9363	9329	9501	9239	9284	9429	9696	9541	9641	9388	9368	9640	9414	9478	9315	9443	9282	9576	9401	9545	9352	9579	9493	9617	9579	9526	9430	9520	9529	9503	9382	9320	9465	9438	9406	9337	9467	9460	9346	9488	9292	9647	9558	9521	9464	9776	10020	9396	9394	9377	9399	9637	9723	9660	9400	9468	9805	9588	9574	9496	9440	9575	9735	9655	9706	9720	9765	9741	9704	9589	9799	9553	9444	9478	10075	9623	9710	9654	9481
A5	10378	10063	9748	9885	9843	10083	10478	9759	9625	9800	10059	9563	9909	9471	9495	9432	9583	9537	9067	9112	9673	9126	8974	9711	9284	9317	9410	8929	9075	9313	8979	8994	9264	9184	9402	9156	9166	9103	8974	9142	9346	8773	9122	9083	9256	9205	9120	9092	9159	9273	9205	9167	8874	9077	9319	9131	9440	8895	9348	9102	9208	9125	9255	9093	9252	9233	9441	9206	9425	9019	9200	9376	9249	9281	9217	9537	9421	9151	9450	9103	9389	9451	9317	9399	9354	9415	9630	9308	9405	9719	9643	9130	9576	9612	9288	9276	9612	9430	9760	9449	9663	9315	9459	9241	9483	9750	9478	9724	9760	9712	9484	9845	9610	9680	9351	9443	9561	9555	9544	9547	9592	9590	9391	9631	9537	9718	9448	9673	9607	9534	9572	9460	9533	9419	9742	9477	9770	9913	9677	9528	9680	9567	9492	9947	9608	9222	9524	9610	9338	9760	9703	9774	9677	9774	9692	9638	9498	9485	9526	9660	9718	9200	9509	9594	9770	9610	9443	9535	9608	9433	9534	9759	9438	9432	9300	9514	9702	9363	9392	9655
A6	9844	9354	9054	9034	9032	8637	9232	9606	9372	9431	9489	9537	9433	9446	9482	9500	9374	9450	9609	8972	9102	9180	8880	8810	8943	9085	8867	9123	8838	8995	9021	9230	9209	8799	8626	8851	9012	8678	8993	8759	8973	8918	9231	8862	8862	8939	8873	8715	9035	9293	8989	9027	8917	8963	8901	8929	8990	9075	8848	9051	9078	8907	9050	9209	9190	8979	8986	9164	9118	9465	9449	9082	9100	9173	9042	9301	9256	9130	9371	9286	9221	9410	9319	9330	9380	9423	9481	9475	9294	9314	9729	9383	9473	9071	9598	9000	9248	9520	9586	8931	9252	9162	9114	9514	9299	9699	9387	9723	9345	9000	9373	9418	9499	9851	9553	9117	9681	9574	9565	9483	9419	9419	9414	9372	9729	9479	9393	9568	9653	9249	9602	9733	9437	9693	9634	9563	9367	9917	9437	9547	9393	9628	9628	9273	9709	9354	9807	9294	9538	9661	9481	9469	9697	9328	9654	9155	9456	9799	9329	9448	9389	9480	9293	9804	9169	9661	9321	9816	9527	9501	9614	9526	9501	9316	9543	9477	9486	9346	9616	9621
A7	9836	9575	9286	9023	8803	8928	8782	9037	9279	9205	9022	9362	9583	9317	9775	9277	9387	9334	9606	9417	9218	9574	9254	9008	9357	9406	9191	9246	9318	9284	8962	9138	9171	9085	9163	9368	9231	9224	9029	9054	9161	8805	9152	9023	9175	8928	9454	9034	9111	8922	9135	9199	9119	9147	8934	8903	9211	9174	8989	9152	8889	8909	8970	9037	8989	9082	9002	8928	9006	8814	8687	8961	9027	8971	8825	8969	9250	8890	9156	8745	8942	8760	8824	9087	9191	8918	9116	8809	8933	8995	9249	8986	8828	8995	8896	8773	9050	9071	8911	8922	9208	9298	9011	9111	8956	9152	9225	9010	8743	8834	8871	9016	8976	8880	9061	9068	9194	9021	8842	8984	8868	9041	9259	9399	9611	9780	9627	10077	10118	10463	10733	11174	11390	12157	12225	12416	12670	13040	13882	14026	14163	14736	14950	15669	15988	16197	17010	17196	18503	18087	18594	19318	19665	20073	20743	21296	22122	22530	23051	23533	24160	23754	25033	25158	25232	26127	26394	26648	27348	27891	28549	29130	29174	29831	30634	30618	31194	31778	32072	32247
A8	9859	9716	9263	9427	9521	9291	9168	9658	9516	9693	9793	9712	9818	9905	9597	9656	9731	9563	10036	9488	9680	9472	9536	9473	9442	9343	9519	9494	9840	9552	9389	9419	9237	9554	9181	9099	9206	9054	9227	9215	9049	8925	9186	9321	9045	9298	9409	9076	9094	9158	9151	9288	9167	9090	9201	9111	9162	8998	8950	8998	8468	9073	9051	9052	9097	8742	9115	9131	8792	9339	8925	9005	9052	9067	8748	8911	9123	9251	9191	8840	9206	9144	8999	9028	8884	9008	9253	9224	9110	9282	9457	9208	9203	9288	9399	9285	9240	9210	9239	9033	9333	9232	9080	9004	8851	8746	9050	9221	9180	9307	9423	9363	9406	9518	9910	10102	10237	10507	10558	10975	10941	11202	11852	12055	12393	12431	12467	13045	13635	13943	14475	14723	15096	15442	15984	16201	17045	17526	17996	18334	18593	19101	19844	20478	21206	21219	21499	21889	22269	22925	23666	23825	24433	24824	25697	26052	26677	27202	27240	27753	28761	28750	28554	30472	30304	30701	30522	31279	31828	32502	33095	33573	32928	33638	33701	34300	35030	36042	35916	36411
