locus_tag	gene_name
GO593_05510	murG
GO593_09995	nuoL
GO593_02035	lolD
GO593_13345	prtR
GO593_06430	lspA1, lspA2, lspA
GO593_02025	GO593_02025
GO593_09990	nuoK
GO593_10000	nuoM
GO593_07425	def1, def
GO593_14925	dnaE
GO593_07355	atpH
GO593_08385	etfD, fixC, ydiS, ygcN
GO593_07410	tsaC
GO593_07680	lptF
GO593_10025	fpr
GO593_02545	sdhC
GO593_10275	fabD
GO593_06205	gyrB
GO593_02040	lolC, lolE
GO593_17715	bamA
GO593_06155	tyrS, tyrZ
GO593_06170	erpA
GO593_15950	lpxB
GO593_04150	rplN
GO593_08750	rpmB
GO593_08220	phaD
GO593_07955	rpoB
GO593_07755	murD
GO593_17315	pyrG
GO593_05490	ftsA
GO593_09960	nuoE
GO593_15435	lptD
GO593_15560	rpsA
GO593_05405	prfB
GO593_05425	glmM
GO593_00140	GO593_00140
GO593_00180	gpsA
GO593_10480	nadE
GO593_06220	dnaA
GO593_03615	ispZ, yciB
GO593_07290	GO593_07290
GO593_09085	GO593_09085
GO593_03480	aspS
GO593_15745	hscB
GO593_01765	lepB
GO593_09690	rpe
GO593_11345	lysS
GO593_09945	nuoA
GO593_04395	glyQ
GO593_00420	glyA, glyA2, glyA3, glyA1
GO593_09480	tilS
GO593_01960	fbp1, fbp
GO593_17700	fabZ
GO593_01635	cgtA
GO593_05420	pdxH
GO593_06815	murJ
GO593_08225	phaC
GO593_07345	atpE
GO593_04190	rplW
GO593_10005	nuoN
GO593_12600	lysC
GO593_01340	purB
GO593_09970	nuoG
GO593_04140	rplE
GO593_13535	kdsC
GO593_03595	coaBC
GO593_08645	asd
GO593_03770	rplM
GO593_05505	murC
GO593_04115	rpsE
GO593_04610	rpsP
GO593_04120	rplR
GO593_04810	ftsL
GO593_04345	hemF
GO593_08800	thyA
GO593_08230	phaAB
GO593_05260	ssb
GO593_09080	der
GO593_13310	fis
GO593_18685	fis
GO593_02585	ybeD
GO593_04400	glyS
GO593_15555	cmk
GO593_17730	cdsA
GO593_04135	rpsN
GO593_15760	iscS
GO593_02490	trpS
GO593_17735	uppS
GO593_17705	lpxD
GO593_10330	rplY
GO593_17400	rpiA
GO593_04800	murE
GO593_08190	nusA
GO593_18420	tamA
GO593_00115	tsaD
GO593_06510	ubiG
GO593_04185	rplB
GO593_09435	pheS
GO593_05430	guaB
GO593_06350	dnaK
GO593_02110	etfA, fixB, ydiR
GO593_02400	hflB
GO593_04170	rpsC
GO593_02180	GO593_02180
GO593_12465	hcaR, marR
GO593_17785	ispF
GO593_15425	fba, gatY, kbaY, fda
GO593_18305	lpxH
GO593_02540	sdhD
GO593_08305	rpsO
GO593_12895	alaS
GO593_10585	minC
GO593_15490	holB
GO593_04055	sdhE
GO593_00515	GO593_00515
GO593_15125	GO593_15125
GO593_02360	folD
GO593_15295	tkt
GO593_18590	cyoA
GO593_02060	serC
GO593_09110	orn
GO593_07945	rplJ
GO593_03110	proS
GO593_09665	tsaB
GO593_10160	coaX
GO593_12900	gap
GO593_10640	GO593_10640
GO593_06435	ileS
GO593_03925	ybeY
GO593_02715	valS
GO593_00260	aroA
GO593_09440	pheT
GO593_08370	lnt
GO593_11930	ubiH
GO593_00295	ppnK, nadK
GO593_05390	kdtA, waaA
GO593_01750	era
GO593_17740	frr
GO593_09495	polA
GO593_10610	dut
GO593_09385	thrS
GO593_07340	atpB
GO593_10380	dnaG
GO593_04180	rpsS
GO593_09950	nuoB
GO593_13635	fdxA
GO593_07645	ribD
GO593_17940	accB
GO593_05915	dapA
GO593_04650	ispH
GO593_05715	psd
GO593_10365	lolB
GO593_06240	yidC
GO593_01065	folE
GO593_00945	cca
GO593_08210	phaF
GO593_07940	rplA
GO593_02915	gatC
GO593_17485	ftsY
GO593_18595	cyoB
GO593_04340	ribA
GO593_07590	ppa
GO593_04145	rplX
GO593_08780	GO593_08780
GO593_15565	ihfB, himD
GO593_01460	hemL
GO593_04125	rplF
GO593_00995	ubiA
