Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
Time [s]	0	1800.2	3600.4	5400.6	7200.8	9001	10801.2	12601.4	14401.6	16201.8	18002	19802.2	21602.4	23402.6	25202.8	27003	28803.2	30603.4	32403.6	34203.8	36004	37804.2	39604.5	41404.7	43204.9	45005.1	46805.3	48605.5	50405.7	52205.9	54006.1	55806.3	57606.5	59406.7	61206.9	63007.1	64807.3	66607.5	68407.7	70207.9	72008.1
Temp. [°C]	36.8	37.1	36.8	37.4	37.4	36.8	37.8	37.3	36.8	37.7	37.2	37.2	37.7	37.2	37.2	37.6	36.9	37.7	36.9	37.7	36.8	37.6	37.6	37.2	37.7	37.7	36.8	37.2	37.7	37.5	37.1	37.7	37.1	37.5	37.4	37.3	37.3	37.7	37.2	37.7	37.7
A1	5	12	15	16	18	18	18	18	19	18	19	19	21	22	22	22	23	23	22	23	23	24	24	25	25	26	27	27	27	28	28	30	30	31	32	32	32	34	35	37	38
A2	4	11	15	16	17	18	18	18	19	19	20	19	20	21	22	22	22	22	23	23	23	24	24	25	25	26	27	27	27	28	29	30	30	32	32	32	33	34	34	35	37
A3	5	11	15	16	17	18	18	18	18	19	20	20	21	22	22	22	22	23	23	23	24	24	25	26	26	27	27	27	28	29	29	30	31	32	33	34	34	34	35	36	37
A4	5	12	15	17	18	18	18	19	19	19	19	20	21	22	22	22	22	22	23	23	24	24	24	25	26	27	27	27	28	29	29	30	31	31	32	32	33	35	36	36	37
A5	5	12	15	16	18	18	18	18	19	18	19	19	20	21	21	21	21	22	22	23	23	23	24	25	25	26	27	26	27	28	29	30	30	31	32	31	33	33	34	35	36
A6	4	11	15	17	17	18	18	18	19	19	19	20	20	21	21	22	22	22	22	23	23	24	25	25	25	26	27	27	28	28	29	30	31	31	31	32	32	33	35	36	37
A7	5	12	15	16	17	18	18	18	18	19	19	19	20	21	22	22	21	22	23	23	23	24	25	26	26	26	28	28	28	29	30	31	31	33	32	33	34	34	35	36	37
A8	5	12	15	16	17	18	18	18	19	19	18	18	18	19	19	19	19	19	19	18	19	19	19	20	20	20	21	21	21	21	22	23	23	24	23	24	24	24	25	26	27
A9	4	11	15	17	18	18	18	18	19	19	19	19	19	20	21	21	22	22	23	23	24	24	24	25	26	26	27	28	28	29	29	30	31	32	31	32	33	33	34	35	36
A10	5	11	15	17	18	18	18	18	18	18	19	19	19	20	21	21	21	22	22	23	23	24	24	25	26	27	28	28	28	29	30	31	32	33	32	33	33	33	35	36	37
A11	5	11	15	16	18	18	19	18	18	19	19	19	20	20	21	21	22	22	23	24	23	24	25	26	27	27	28	28	29	30	31	32	32	33	33	33	34	35	36	37	38
A12	5	12	15	17	18	18	18	18	19	18	18	18	18	18	18	18	18	18	18	17	17	17	17	18	18	17	18	18	17	18	18	18	18	18	18	17	17	18	18	17	18
B1	5	12	15	17	18	19	19	21	23	24	26	29	35	42	50	57	62	67	75	83	93	104	115	128	141	156	169	185	203	221	240	262	284	307	331	360	388	419	447	475	503
B2	5	12	15	17	18	18	19	19	19	19	20	20	21	21	21	22	22	22	22	23	22	24	24	24	25	25	26	26	27	27	28	29	30	31	31	31	32	33	33	34	35
B3	4	12	15	17	18	18	18	18	19	19	19	19	21	21	22	21	22	22	22	22	22	23	23	24	24	25	25	25	26	26	28	29	29	30	30	30	32	32	33	34	35
