Well	Strain	Hour	OD600_fit
A1	s245s	1	0.0109469642112658
A1	s245s	2	0.0176921412271786
A1	s245s	3	0.0284518769422366
A1	s245s	4	0.0453966677407479
A1	s245s	5	0.0715498980476246
A1	s245s	6	0.110687048120538
A1	s245s	7	0.166625932450111
A1	s245s	8	0.241548429228063
A1	s245s	9	0.333616253217417
A1	s245s	10	0.435493245220315
A1	s245s	11	0.535940058070679
A1	s245s	12	0.624319834803768
A1	s245s	13	0.694623358671777
A1	s245s	14	0.74619530252416
A1	s245s	15	0.781820922880745
A1	s245s	16	0.805421586741647
A1	s245s	17	0.820625413850511
A1	s245s	18	0.830244340436826
A1	s245s	19	0.836260429040633
A1	s245s	20	0.839996168972247
A2	s245s	1	0.00883161360824261
A2	s245s	2	0.0144848552526374
A2	s245s	3	0.0236535442856969
A2	s245s	4	0.0383554533710363
A2	s245s	5	0.0615049118558366
A2	s245s	6	0.0969318663085847
A2	s245s	7	0.148851342625985
A2	s245s	8	0.220309175808658
A2	s245s	9	0.310602476569372
A2	s245s	10	0.413137140206459
A2	s245s	11	0.516358820790171
A2	s245s	12	0.608409301355918
A2	s245s	13	0.682035992299528
A2	s245s	14	0.735968711478753
A2	s245s	15	0.772982918417384
A2	s245s	16	0.797263812694325
A2	s245s	17	0.812723152434055
A2	s245s	18	0.822379540598795
A2	s245s	19	0.828339371198791
A2	s245s	20	0.83199055370836
A3	s245s	1	0.0116853152373875
A3	s245s	2	0.0185942767879269
A3	s245s	3	0.0294483184952561
A3	s245s	4	0.0462944243022749
A3	s245s	5	0.0719542879305835
A3	s245s	6	0.109942640643956
A3	s245s	7	0.163877907831112
A3	s245s	8	0.236073947409609
A3	s245s	9	0.325454173913063
A3	s245s	10	0.425999267584497
A3	s245s	11	0.52761090281553
A3	s245s	12	0.619766402734407
A3	s245s	13	0.69549504684498
A3	s245s	14	0.752839753709522
A3	s245s	15	0.793631949195913
A3	s245s	16	0.821376351465267
A3	s245s	17	0.839675304908674
A3	s245s	18	0.851501032702631
A3	s245s	19	0.859043094564514
A3	s245s	20	0.863812707556019
A4	s245s	1	0.0109213164752532
A4	s245s	2	0.0174781825372743
A4	s245s	3	0.0278400135150112
A4	s245s	4	0.0440175177962152
A4	s245s	5	0.0688028060673102
A4	s245s	6	0.105699453932234
A4	s245s	7	0.158339411179354
A4	s245s	8	0.229058095320417
A4	s245s	9	0.316763406055
A4	s245s	10	0.415356650059158
A4	s245s	11	0.514664082850435
A4	s245s	12	0.604221728414489
A4	s245s	13	0.677284413691778
A4	s245s	14	0.732169816245471
A4	s245s	15	0.770898122347421
A4	s245s	16	0.797034135797164
A4	s245s	17	0.81414572097895
A4	s245s	18	0.825127690274596
A4	s245s	19	0.832085810661653
A4	s245s	20	0.836458624431698
A5	s245s	1	0.00742752758878789
A5	s245s	2	0.0120649517359358
A5	s245s	3	0.019528907949825
A5	s245s	4	0.0314326307105735
A5	s245s	5	0.0501424075059977
A5	s245s	6	0.0788865564047505
A5	s245s	7	0.121535155780577
A5	s245s	8	0.181652902706374
A5	s245s	9	0.260547239379723
A5	s245s	10	0.354903981591443
A5	s245s	11	0.455992771951142
A5	s245s	12	0.552291101402925
A5	s245s	13	0.634289830714491
A5	s245s	14	0.697701199101225
A5	s245s	15	0.743182561586182
A5	s245s	16	0.77407154972155
A5	s245s	17	0.794280351774954
A5	s245s	18	0.807180319025812
A5	s245s	19	0.815285883981153
A5	s245s	20	0.82032853746089
A6	s245s	1	0.00803938856536663
A6	s245s	2	0.0130815414497202
A6	s245s	3	0.021203562149355
A6	s245s	4	0.0341551800711749
A6	s245s	5	0.054479094032683
A6	s245s	6	0.0855813820039517
A6	s245s	7	0.131396455194092
A6	s245s	8	0.19522758810689
A6	s245s	9	0.277586208474279
A6	s245s	10	0.373929021109072
A6	s245s	11	0.474513885850438
A6	s245s	12	0.567795919375406
A6	s245s	13	0.645269269484201
A6	s245s	14	0.703930641092583
A6	s245s	15	0.745312693150566
A6	s245s	16	0.773069066667464
A6	s245s	17	0.791061789387268
A6	s245s	18	0.802468724759999
A6	s245s	19	0.809598743536643
