Well	Strain	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	note
A1	s245s	0.846001375354034	0.0126710670015303	5.29161824834143e-41	0.0067524402793058	0.00160882231373533	0.000156659624229891	0.488168695618064	0.0255683907461309	4.51153290344158e-21	0.032571940033748	38	9.87896898722985	1.41989272721054	8.56086383992749	8.42747488804161	""
A2	s245s	0.837658939989597	0.0101329139177327	1.66654839490026e-44	0.00537036077878499	0.00109428427221448	1.77088063481212e-05	0.501610037829668	0.0214035690375425	3.39937465193694e-24	0.026038229711966	38	10.0541930183879	1.38184471658304	8.33179221208354	8.21497501246631	""
A3	s245s	0.871825103185685	0.0119528338029371	1.88536485425687e-42	0.00732144614071458	0.00149311037057847	1.79397846098707e-05	0.472585692105476	0.0215680440764415	3.68780152044603e-23	0.0290971949947927	38	10.0962592528609	1.46671215853323	8.63580483223172	8.50465006381273	""
A4	s245s	0.843690706057297	0.0101994746852314	1.62747931308788e-44	0.00680397427953678	0.00125401834324661	3.48925451729051e-06	0.478141599365042	0.0195065621522735	6.84529325022391e-25	0.0251793737866056	38	10.0643446354867	1.44966926425231	8.38352295671023	8.2628250028938	""
A5	s245s	0.828415648850035	0.00862611864162117	5.74844742965553e-47	0.00456263485970865	0.000763689021287955	6.17093178337882e-07	0.490776258187	0.0168080642933801	1.2312408252643e-27	0.0202889881451864	38	10.5874963783885	1.41234863952167	7.80470198960286	7.69865005649626	""
A6	s245s	0.821044941592038	0.00908447498432196	5.71727594453549e-46	0.00492882881243624	0.000886578062876521	2.28936654553494e-06	0.49307033488223	0.0184158636417516	2.85939574771299e-26	0.0221216050441715	38	10.3625281871865	1.40577749567007	7.91708787539012	7.80719999782741	""
A7	s245s	0.823901790238224	0.00901567061470313	3.76022192490933e-46	0.00507193938002477	0.000937378877993121	3.65775269612146e-06	0.502192470907811	0.0192826905028789	7.75901439593959e-26	0.0229857895278009	38	10.1239133187191	1.38024207990802	8.1382634801155	8.02667497098445	""
A8	s245s	0.816086252523192	0.00849520404087473	5.68399608490823e-47	0.00364036266700321	0.000648687821318285	1.93978980296547e-06	0.505940503563413	0.0176423367517443	2.37145737777607e-27	0.0202147265244414	38	10.6889366759914	1.37001717727284	7.60586706976187	7.5017749313265	""
A9	s245s	0.808690276843318	0.00693466136715002	3.68015088648299e-50	0.0034370839052603	0.00053817461044176	1.6814241500018e-07	0.52158547087707	0.0157430844250235	1.20868346173892e-29	0.0174411680851213	38	10.4614366160463	1.32892348284623	7.71781232014301	7.62342502735555	""
A10	s245s	0.824429049609909	0.00656904336042569	2.27483112913446e-51	0.0028874741492343	0.000445649213590229	1.25596112040985e-07	0.536942266885455	0.0153661720646348	1.70121250284853e-30	0.0167592327082809	38	10.5240372582626	1.29091565948153	7.81631640410747	7.72637506760657	""
