Well	Strain	Cycle	OD600	RFP	Time	Hour	OD600_fit	second_type	New Strain	Reps	RFP_norm
A1	s245s	3	0.084100000560284	15	3600	1	0.0109469642112658	FALSE	s245s	35	0
A1	s245s	5	0.085100002586842	18	7200	2	0.0176921412271786	FALSE	s245s	35	0
A1	s245s	7	0.087099999189377	18	10800	3	0.0284518769422366	FALSE	s245s	35	0
A1	s245s	9	0.096600003540516	19	14400	4	0.0453966677407479	FALSE	s245s	35	0.5
A1	s245s	11	0.11879999935627	19	18000	5	0.0715498980476246	FALSE	s245s	35	1
A1	s245s	13	0.17059999704361	21	21600	6	0.110687048120538	FALSE	s245s	35	2.5
A1	s245s	15	0.249699994921684	22	25200	7	0.166625932450111	FALSE	s245s	35	3.5
A1	s245s	17	0.328099995851517	23	28800	8	0.241548429228063	FALSE	s245s	35	5.5
A1	s245s	19	0.437400013208389	22	32400	9	0.333616253217417	FALSE	s245s	35	4.5
A1	s245s	21	0.556699991226196	23	36000	10	0.435493245220315	FALSE	s245s	35	5.5
A1	s245s	23	0.645500004291534	24	39600	11	0.535940058070679	FALSE	s245s	35	6.5
A1	s245s	25	0.711099982261658	25	43200	12	0.624319834803768	FALSE	s245s	35	7
A1	s245s	27	0.756099998950958	27	46800	13	0.694623358671777	FALSE	s245s	35	9.5
A1	s245s	29	0.79229998588562	27	50400	14	0.74619530252416	FALSE	s245s	35	10
A1	s245s	31	0.815999984741211	28	54000	15	0.781820922880745	FALSE	s245s	35	10
A1	s245s	33	0.850000023841858	30	57600	16	0.805421586741647	FALSE	s245s	35	12
A1	s245s	35	0.884299993515015	32	61200	17	0.820625413850511	FALSE	s245s	35	14
A1	s245s	37	0.925999999046326	32	64800	18	0.830244340436826	FALSE	s245s	35	15
A1	s245s	39	0.972199976444244	35	68400	19	0.836260429040633	FALSE	s245s	35	17
A1	s245s	41	1.00179994106293	38	72000	20	0.839996168972247	FALSE	s245s	35	20
A2	s245s	3	0.08669999986887	15	3600	1	0.00883161360824261	FALSE	s245s	35	0
A2	s245s	5	0.087099999189377	17	7200	2	0.0144848552526374	FALSE	s245s	35	-1
A2	s245s	7	0.088600002229214	18	10800	3	0.0236535442856969	FALSE	s245s	35	0
A2	s245s	9	0.096000000834465	19	14400	4	0.0383554533710363	FALSE	s245s	35	0.5
A2	s245s	11	0.116599999368191	20	18000	5	0.0615049118558366	FALSE	s245s	35	2
A2	s245s	13	0.161100000143051	20	21600	6	0.0969318663085847	FALSE	s245s	35	1.5
A2	s245s	15	0.236100003123283	22	25200	7	0.148851342625985	FALSE	s245s	35	3.5
A2	s245s	17	0.30919998884201	22	28800	8	0.220309175808658	FALSE	s245s	35	4.5
