Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Time [s]	0	71.8	143.5	215.3	287.1	358.9	430.7	502.4	574.2	646	717.8	789.6	861.3	933.1	1004.9	1076.6	1148.4	1220.2	1291.9	1363.7
Temp. [°C]	25.1	25.2	25.2	25.2	25.2	25.2	25.2	25.2	25.2	25.3	25.3	25.3	25.3	25.3	25.4	25.4	25.5	25.5	25.5	25.5
A1	7014	6913	6914	7033	6888	6943	6878	6822	6872	6703	6889	6836	6753	6789	6706	6776	6665	6649	6697	6782
A2	41903	42432	42655	42020	42582	42146	42361	41898	42415	42403	42334	41895	41495	42075	41788	41877	41548	41772	42030	41576
A3	40755	40903	41162	41059	41055	41081	40780	40452	40630	40614	40795	40589	40097	40429	39887	40296	39938	40182	40142	39953
A4	43394	43795	44251	43853	43901	43802	43581	43263	43804	43266	43468	43273	42834	43033	42533	42815	42413	42824	42538	42496
A5	42816	43212	43407	42963	42968	42685	42570	42673	42611	42603	42629	42469	41935	42205	41980	42167	41775	41990	41906	41519
A6	7543	7556	7461	7336	7507	7477	7380	7538	7532	7462	7367	7360	7351	7367	7440	7307	7254	7344	7273	7484
A7	7865	7799	7882	7956	7888	7849	8006	7952	7852	7752	7852	7845	7953	7748	7901	7960	7851	7844	7782	7788
A8	7750	7639	7567	7612	7679	7607	7551	7603	7522	7549	7578	7618	7458	7535	7545	7547	7450	7428	7486	7642
A9	7198	7248	7120	7188	7196	7151	7244	6990	7101	7214	7126	7174	7153	7156	7228	7164	7051	7172	7164	7169
A10	7149	7174	7131	7147	7167	7242	7144	7180	7134	7229	7107	7061	7062	6988	7095	6989	7112	7080	7103	7017
A11	7254	7128	7076	7271	7065	7259	7046	7179	7271	7284	7016	7070	6994	7030	7137	7044	7013	7078	7082	7139
A12	7066	7019	7111	7059	7042	6893	6982	7064	7023	6956	6930	6962	7044	6943	6974	6876	7021	6981	6979	7024
B1	7426	7588	7533	7543	7401	7365	7386	7426	7397	7328	7309	7341	7404	7281	7283	7262	7381	7274	7312	7297
B2	42137	42503	43187	42665	42998	42686	42700	42866	42586	42214	42702	42564	42324	42080	42367	41950	42047	41981	41920	41776
B3	40871	41130	40945	41415	40942	41078	40835	40742	40994	40586	40429	40362	40274	40234	40112	39996	39995	39781	39702	39552
B4	42105	41938	42504	42108	41971	41594	41756	41441	42097	41393	41387	41575	40999	41004	41025	40928	40754	40984	40871	40531
B5	43620	43835	44439	43990	44208	44604	44114	44328	44133	44167	43990	44043	43680	43716	43477	43577	43642	43319	43374	43531
B6	39126	39562	39755	39999	39996	39963	39975	39750	39772	39995	39887	39923	39782	39714	39739	39675	39696	39791	39669	39866
B7	34312	34970	35210	35113	35254	35322	35123	35039	35395	35053	35228	35350	34939	35107	35138	35360	35016	35445	35159	34987
B8	36598	36835	37129	37291	37276	37352	37560	37218	37237	37589	37196	37224	37459	37536	37203	37473	37388	37307	37163	37346
B9	35390	36074	36126	36045	36042	35894	35973	35993	36138	35977	36044	36074	35864	35585	35973	35697	35823	35983	35636	36003
B10	7865	7721	7839	7690	7812	7849	7855	7700	7873	7809	7757	7808	7594	7664	7650	7625	7553	7604	7654	7685
B11	7538	7413	7496	7401	7584	7459	7458	7551	7419	7479	7362	7422	7324	7302	7314	7388	7335	7289	7463	7358
B12	8379	8199	8373	8424	8269	8351	8202	8211	8138	8499	8253	8120	8196	8128	8286	8196	8058	8051	8194	8153
C1	7920	8115	8121	7980	7946	7942	7997	7999	8155	7900	7936	7888	7975	7790	7940	7863	7777	7904	8001	7872
C2	45833	45970	46065	45974	45882	46159	46049	45991	45848	45512	45644	45739	45544	45306	45522	45634	45349	45095	45074	45185
C3	42796	43496	43523	43606	43674	43924	43731	43272	43606	43540	43260	43370	42901	42642	42774	43143	42837	42795	43167	42685
