Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Time [s]	0	71.8	143.5	215.3	287.1	358.9	430.6	502.4	574.2	646	717.8	789.5	861.3	933.1	1004.9	1076.6	1148.4	1220.2	1292	1363.8
Temp. [°C]	25.7	25.7	25.7	25.8	25.8	25.8	25.9	25.9	26	26	26	26	26.1	26.1	26.1	26.1	26.1	26.2	26.2	26.2
A1	8438	8326	8216	8224	8125	8281	8275	8292	8478	8387	8297	8310	8229	8194	8114	8270	8336	8391	8427	8269
A2	42506	42987	43631	43317	43600	43442	43716	43980	44105	43896	44555	43929	43426	44467	43837	44375	43432	43676	44105	43879
A3	39786	40359	40503	41037	40693	41269	40864	41039	40745	40975	40465	40939	40673	40873	40663	41345	40512	40357	40430	40190
A4	42517	42943	43555	43184	43039	42683	43167	42894	43280	42731	42526	42650	42745	42214	42666	43254	42467	42421	42589	41967
A5	44124	44046	44024	44606	44247	44567	44751	44660	43977	43834	43872	43291	42855	43215	42997	43453	42825	42873	43278	42738
A6	8743	8655	8679	8736	8564	8702	8648	8641	8641	8504	8436	8608	8485	8510	8584	8586	8344	8379	8436	8429
A7	43811	44116	44492	44618	45130	44155	44698	44626	45284	45309	44866	44470	44113	43588	43998	44585	43833	43360	43858	43316
A8	41064	41574	41098	41716	40940	41358	41557	42233	41599	41538	41667	40964	41210	40531	40706	40742	40486	40224	40421	40014
A9	41892	42885	43142	42711	42977	43091	43417	42802	42714	42612	43080	42068	41829	42070	41763	42451	41695	41677	42060	41824
A10	42751	42723	43119	42825	43641	42939	42906	43793	42941	43313	42925	42978	42215	42077	42048	42819	42442	42594	42767	42240
A11	8652	8690	8704	8612	8559	8477	8664	8646	8585	8578	8417	8467	8398	8443	8429	8326	8359	8500	8327	8314
A12	8750	8691	8489	8598	8611	8447	8556	8547	8377	8632	8305	8479	8605	8507	8504	8550	8542	8453	8601	8505
B1	8581	8583	8633	8624	8528	8533	8485	8570	8583	8627	8426	8458	8403	8409	8523	8427	8338	8623	8463	8424
B2	43932	44430	44978	45008	45323	45053	45496	46310	45043	45895	45532	45635	45403	45826	45636	45123	45109	44729	44537	44308
B3	41444	42504	42355	42690	42408	42333	42768	42794	42233	42524	42585	42849	42125	42082	42074	42426	41685	41730	41781	41370
B4	44075	43747	44190	43866	44654	44587	44464	45192	45450	44993	45067	45053	44612	44572	44624	44147	44137	44100	44147	43770
B5	44260	44865	44812	45014	44941	44815	44691	45389	45204	45609	45516	45576	45421	45600	44960	45121	44461	44410	44225	44083
B6	8892	8854	8830	8954	8764	8859	8860	8807	8803	8791	8811	8800	8894	8784	8686	8763	8644	8810	8665	8857
B7	16956	17109	17355	17325	17251	17163	17430	17169	17386	17153	17307	17150	17236	17068	17129	16934	16923	16771	16713	16613
B8	17345	17133	17033	16913	17352	17442	17230	17151	17237	17059	17260	16914	16886	16974	16913	16614	16572	16527	16648	16630
B9	16710	16573	17116	16909	16872	16753	16911	16791	16476	16679	16550	16623	16521	16333	16348	16306	16191	16289	15994	15914
B10	16810	17059	17158	17017	16838	16928	17075	17080	16636	16712	16591	16515	16662	16821	16827	16495	16287	16516	16295	16139
B11	8651	8684	8714	8557	8592	8611	8480	8593	8659	8523	8537	8527	8658	8585	8538	8645	8433	8509	8536	8518
B12	8595	8732	8677	8565	8643	8486	8587	8605	8563	8542	8529	8543	8724	8496	8568	8488	8507	8482	8498	8468
C1	8572	8519	8485	8540	8523	8415	8575	8255	8407	8532	8275	8305	8376	8490	8367	8341	8343	8287	8390	8343
C2	44017	44822	44186	44679	44734	44647	45313	44481	44550	44424	44907	45011	44498	44741	44797	44187	43987	44417	44159	43963
C3	41416	41918	41998	41859	41865	42050	42268	41885	42177	41564	41543	41876	41384	41933	41886	41107	40990	41442	40961	40658
C4	43784	43104	44319	43671	44476	43725	44336	44388	44720	44773	44448	43737	43962	44142	44472	43114	42657	43411	43256	43386
C5	44558	45514	45217	44790	44839	44885	45532	45224	45741	44753	45672	46076	45492	45712	46015	45087	43899	45255	44160	44231
C6	8794	8875	8736	8864	8678	8778	8811	8790	8675	8830	8760	8603	8774	8629	8829	8636	8682	8832	8529	8772
C7	16640	16935	16553	16669	17188	17039	17036	16758	17036	16889	17410	17082	16985	16659	16724	16621	16612	16708	16428	16295
