AB19606,AB030,genes,STRING_names,gene_orthologs,unique_name,citation,gene_name,type,condition,medLFC,FDR,gene_name_stylized,Pathway
GO593_09475,IX87_17540,accA,accA,accA,accA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-2.31195968594058,2.22317836250164e-05,italic('accA'),
GO593_09475,IX87_17540,accA,accA,accA,accA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.859667780559674,0.996962890355813,italic('accA'),
GO593_17940,IX87_21900,accB,accB,accB,accB,"",accB,perfect,fosfomycin_T2_1 - none_T2_1a,-0.303253934472464,0.999975301670124,italic('accB'),
GO593_17940,IX87_21900,accB,accB,accB,accB,"",accB,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0221363561948058,1,italic('accB'),
GO593_17945,IX87_21905,accC,accC,accC,accC,"",accC,perfect,fosfomycin_T2_1 - none_T2_1a,-2.82539012308936,2.41067010170063e-08,italic('accC'),
GO593_17945,IX87_21905,accC,accC,accC,accC,"",accC,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0790045885158433,0.99999999727528,italic('accC'),
GO593_03345,IX87_11230,accD,accD,accD,accD,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-1.13099241537326,0.238047438475611,italic('accD'),
GO593_03345,IX87_11230,accD,accD,accD,accD,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.236347482802566,0.999648733005344,italic('accD'),
GO593_18405,IX87_06625,acnB,IX87_06625,acnB,acnB,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-3.03176922127251,1.86054678980561e-07,italic('acnB'),
GO593_18405,IX87_06625,acnB,IX87_06625,acnB,acnB,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.4144881158201,0.00781286300881449,italic('acnB'),
GO593_10285,IX87_18425,acpP,acpP,acpP,acpP,"",acpP,perfect,fosfomycin_T2_1 - none_T2_1a,-1.70161559022037,0.610493354655926,italic('acpP'),
GO593_10285,IX87_18425,acpP,acpP,acpP,acpP,"",acpP,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0601951199047753,1,italic('acpP'),
GO593_09085,IX87_17135,unknown,AIL80275.1,GO593_09085,acpT,https://www.genome.jp/entry/K06133,.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0397201501108335,0.999999999834967,italic('acpT'),
GO593_09085,IX87_17135,unknown,AIL80275.1,GO593_09085,acpT,https://www.genome.jp/entry/K06133,.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0109809742798296,1,italic('acpT'),
GO593_11470,IX87_00385,adk,IX87_00385,adk,adk,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.302143643633349,0.999996426778003,italic('adk'),
GO593_11470,IX87_00385,adk,IX87_00385,adk,adk,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0531315604939697,0.99999999996454,italic('adk'),
GO593_12895,IX87_04765,alaS,IX87_04765,alaS,alaS,"",alaS,perfect,fosfomycin_T2_1 - none_T2_1a,0.224910267614283,0.999998034143888,italic('alaS'),tRNA Ligase
GO593_12895,IX87_04765,alaS,IX87_04765,alaS,alaS,"",alaS,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0310452622409491,1,italic('alaS'),tRNA Ligase
GO593_07295,IX87_15285,argS,argS,argS,argS,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-1.47569258794804,0.544234790738203,italic('argS'),tRNA Ligase
GO593_07295,IX87_15285,argS,argS,argS,argS,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.128032162489339,0.997934516105836,italic('argS'),tRNA Ligase
GO593_00260,IX87_07480,aroA,aroA,aroA,aroA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.833667945729023,0.293538727279857,italic('aroA'),
GO593_00260,IX87_07480,aroA,aroA,aroA,aroA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0411358002869449,0.999974667401732,italic('aroA'),
GO593_04740,IX87_12780,aroB,IX87_12780,aroB,aroB,"",aroB,perfect,fosfomycin_T2_1 - none_T2_1a,-0.759806373011849,0.97628097678559,italic('aroB'),
GO593_04740,IX87_12780,aroB,IX87_12780,aroB,aroB,"",aroB,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.128270973661816,1,italic('aroB'),
GO593_16070,IX87_19365,aroC,aroC,aroC,aroC,"",aroC,perfect,fosfomycin_T2_1 - none_T2_1a,-3.43355785050218,0.000357137537929668,italic('aroC'),
GO593_16070,IX87_19365,aroC,aroC,aroC,aroC,"",aroC,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.51929849041074,0.217061827888878,italic('aroC'),
GO593_17935,IX87_21895,"aroQ, aroQ2, aroQ1",aroQ,aroQ,aroQ,"",aroQ,perfect,fosfomycin_T2_1 - none_T2_1a,-1.02140358700942,0.723352264857014,italic('aroQ'),
GO593_17935,IX87_21895,"aroQ, aroQ2, aroQ1",aroQ,aroQ,aroQ,"",aroQ,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0812151608988519,1,italic('aroQ'),
GO593_08645,IX87_16705,asd,asd,asd,asd,"",asd,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0856964720317759,0.999997842333041,italic('asd'),
GO593_08645,IX87_16705,asd,asd,asd,asd,"",asd,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0634964664298682,1,italic('asd'),
GO593_13165,IX87_04470,unknown,IX87_04470,GO593_13165,asnC,https://www.ncbi.nlm.nih.gov/ipg/WP_158160719.1,.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.0114242554341766,1,italic('asnC'),
GO593_13165,IX87_04470,unknown,IX87_04470,GO593_13165,asnC,https://www.ncbi.nlm.nih.gov/ipg/WP_158160719.1,.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.00803852827841,1,italic('asnC'),
GO593_03480,IX87_11355,aspS,aspS,aspS,aspS,"",aspS,perfect,fosfomycin_T2_1 - none_T2_1a,-0.357518384118823,0.999984539776439,italic('aspS'),tRNA Ligase
GO593_03480,IX87_11355,aspS,aspS,aspS,aspS,"",aspS,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0367069050982454,0.999999999999998,italic('aspS'),tRNA Ligase
GO593_07360,IX87_15350,atpA,atpA,atpA,atpA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-3.15197940225976,5.26271779573038e-07,italic('atpA'),
GO593_07360,IX87_15350,atpA,atpA,atpA,atpA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.08413177226951,0.000674786478449103,italic('atpA'),
GO593_07370,IX87_15360,atpD,atpD,atpD,atpD,"",atpD,perfect,fosfomycin_T2_1 - none_T2_1a,-2.05279894002271,0.00071364968131567,italic('atpD'),
GO593_07370,IX87_15360,atpD,atpD,atpD,atpD,"",atpD,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.946987393598479,0.674928542100847,italic('atpD'),
GO593_07345,IX87_15335,atpE,atpE,atpE,atpE,"",atpE,perfect,fosfomycin_T2_1 - none_T2_1a,-2.88965856600634,2.12106242327467e-06,italic('atpE'),
GO593_07345,IX87_15335,atpE,atpE,atpE,atpE,"",atpE,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.744677968808578,0.767280128361254,italic('atpE'),
GO593_07350,IX87_15340,atpF,atpF,atpF,atpF,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-2.55574146397459,0.000266066776914542,italic('atpF'),
GO593_07350,IX87_15340,atpF,atpF,atpF,atpF,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.927206331364477,0.870788683969647,italic('atpF'),
GO593_07365,IX87_15355,atpG,atpG,atpG,atpG,"",atpG,perfect,fosfomycin_T2_1 - none_T2_1a,-2.70021836272572,1.56001184387024e-09,italic('atpG'),
GO593_07365,IX87_15355,atpG,atpG,atpG,atpG,"",atpG,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.42117844112897,0.461625734678354,italic('atpG'),
