condition	unique_name	AB19606	AB030	gene_mLFC	FDR
Colistin_0.44_T1 - None_0_T1	GO593_00140	GO593_00140	IX87_07360	-0.826840927698754	0.000386356073642176
Colistin_0.44_T1 - None_0_T1	GO593_00515	GO593_00515	unknown	-2.33967918980465	1.22549308308347e-05
Colistin_0.44_T1 - None_0_T1	GO593_01975	GO593_01975	IX87_09495	-0.0523169296066446	0.608440336349826
Colistin_0.44_T1 - None_0_T1	GO593_02180	GO593_02180	IX87_09700	-0.00515626040141428	0.930235542804061
Colistin_0.44_T1 - None_0_T1	GO593_05760	GO593_05760	IX87_13990	-0.306924886997285	0.970331630509933
Colistin_0.44_T1 - None_0_T1	GO593_06495	GO593_06495	IX87_14745	-0.569092255560261	0.000154092439394748
Colistin_0.44_T1 - None_0_T1	GO593_07290	GO593_07290	IX87_15280	-0.00799146177173788	0.984925724810715
Colistin_0.44_T1 - None_0_T1	GO593_07665	GO593_07665	IX87_15675	0.127964976926418	0.865708523832772
Colistin_0.44_T1 - None_0_T1	GO593_10640	GO593_10640	IX87_01695	-1.99512881259705	1.77079487108772e-14
Colistin_0.44_T1 - None_0_T1	GO593_11535	GO593_11535	unknown	0.00964500075881055	0.845161155704114
Colistin_0.44_T1 - None_0_T1	GO593_11615	GO593_11615	IX87_00220	-0.0555990362088818	0.0749598385360529
Colistin_0.44_T1 - None_0_T1	GO593_12335	GO593_12335	IX87_05435	-0.00184042885205875	0.945677570502408
Colistin_0.44_T1 - None_0_T1	GO593_13170	GO593_13170	IX87_04465	-0.0535917917222222	0.991023079527876
Colistin_0.44_T1 - None_0_T1	GO593_13175	GO593_13175	IX87_04460	0.0291244327249361	0.993557287499791
Colistin_0.44_T1 - None_0_T1	GO593_13215	GO593_13215	IX87_04190	-0.00571334214884987	0.994931825946809
Colistin_0.44_T1 - None_0_T1	GO593_13220	GO593_13220	IX87_04420	0.0087542037337792	0.983424395831537
Colistin_0.44_T1 - None_0_T1	GO593_15125	GO593_15125	unknown	0.0621664747552629	0.991046920583182
Colistin_0.44_T1 - None_0_T1	GO593_15205	GO593_15205	IX87_02640	-0.0487567544178925	0.972123219366822
Colistin_0.44_T1 - None_0_T1	GO593_18140	GO593_18140	IX87_06370	0.0118461056709972	0.915602676754166
Colistin_0.44_T1 - None_0_T1	GO593_18720	GO593_18720	IX87_06955	0.0794432068217476	0.930446788604254
Colistin_0.44_T1 - None_0_T1	GO593_18760	GO593_18760	unknown	-0.0439665400416111	0.999842334867171
Colistin_0.44_T1 - None_0_T1	GO593_18770	GO593_18770	unknown	0.0656080852226234	0.978393411761347
Colistin_0.44_T1 - None_0_T1	accA	GO593_09475	IX87_17540	-0.801205175291791	0.00171771098636492
Colistin_0.44_T1 - None_0_T1	accB	GO593_17940	IX87_21900	-0.142437716980342	0.619054263561348
Colistin_0.44_T1 - None_0_T1	accC	GO593_17945	IX87_21905	-0.806791347674758	0.00609276715830428
Colistin_0.44_T1 - None_0_T1	accD	GO593_03345	IX87_11230	-0.690585517211746	0.00165701528857963
Colistin_0.44_T1 - None_0_T1	acnB	GO593_18405	IX87_06625	-0.0863490946780266	0.925820532633548
Colistin_0.44_T1 - None_0_T1	acpP	GO593_10285	IX87_18425	-1.26837887039856	0.0358365831153953
Colistin_0.44_T1 - None_0_T1	acpT	GO593_09085	IX87_17135	-0.0490983757469704	0.99343903712428
Colistin_0.44_T1 - None_0_T1	adk	GO593_11470	IX87_00385	-1.27202733359756	2.19650780812472e-09
Colistin_0.44_T1 - None_0_T1	alaS	GO593_12895	IX87_04765	-0.763933119965679	0.00173575343650976
Colistin_0.44_T1 - None_0_T1	argS	GO593_07295	IX87_15285	-2.44376158894553	4.75027900905257e-13
Colistin_0.44_T1 - None_0_T1	aroA	GO593_00260	IX87_07480	-0.328170620594973	0.307399353284344
Colistin_0.44_T1 - None_0_T1	aroB	GO593_04740	IX87_12780	-1.68831829118972	2.23774088591331e-07
Colistin_0.44_T1 - None_0_T1	aroC	GO593_16070	IX87_19365	-2.20776550560906	2.78338025920587e-10
Colistin_0.44_T1 - None_0_T1	aroQ	GO593_17935	IX87_21895	-0.537386967982594	0.239818333871168
Colistin_0.44_T1 - None_0_T1	asd	GO593_08645	IX87_16705	-0.00280324059424974	0.689348003067421
Colistin_0.44_T1 - None_0_T1	asnC	GO593_13165	IX87_04470	0.0357944076513864	0.986871817611044
Colistin_0.44_T1 - None_0_T1	aspS	GO593_03480	IX87_11355	-0.678866523533433	0.0436130624871608
Colistin_0.44_T1 - None_0_T1	atpA	GO593_07360	IX87_15350	-1.80897277416688	4.09461393652542e-14
Colistin_0.44_T1 - None_0_T1	atpB	GO593_07340	IX87_15330	-1.80802222267685	5.58846729512233e-09
Colistin_0.44_T1 - None_0_T1	atpD	GO593_07370	IX87_15360	-1.11376771680995	3.66085917785616e-09
Colistin_0.44_T1 - None_0_T1	atpE	GO593_07345	IX87_15335	-0.379401271195234	0.214332502618398
Colistin_0.44_T1 - None_0_T1	atpF	GO593_07350	IX87_15340	-0.308498451290608	0.495497796963775
Colistin_0.44_T1 - None_0_T1	atpG	GO593_07365	IX87_15355	-2.14484427908082	9.88293256447655e-15
Colistin_0.44_T1 - None_0_T1	atpH	GO593_07355	IX87_15345	-0.777801258628194	0.00027060446890985
Colistin_0.44_T1 - None_0_T1	bamA	GO593_17715	IX87_21640	-1.05072457104106	1.01884026930385e-12
Colistin_0.44_T1 - None_0_T1	birA	GO593_10165	IX87_18295	-0.503036281124461	0.0032554148947455
Colistin_0.44_T1 - None_0_T1	cbdB1	GO593_13095	IX87_04580	0.0398972330647582	0.977494106235626
Colistin_0.44_T1 - None_0_T1	cca	GO593_00945	IX87_08070	-0.266453627127727	0.34942582668303
Colistin_0.44_T1 - None_0_T1	cdsA	GO593_17730	IX87_21655	-2.31221960391452	1.2930132500751e-27
Colistin_0.44_T1 - None_0_T1	cgtA	GO593_01635	IX87_09155	-0.399251341860631	0.176616958047047
Colistin_0.44_T1 - None_0_T1	clpX	GO593_08945	IX87_16990	0.0454522154019776	0.941530509930997
Colistin_0.44_T1 - None_0_T1	cmk	GO593_15555	IX87_02265	-1.3861714496009	8.68855349542533e-05
Colistin_0.44_T1 - None_0_T1	coaD	GO593_10410	IX87_01935	-0.431915951895411	0.0697610496140448
Colistin_0.44_T1 - None_0_T1	coaE	GO593_08145	IX87_16190	-0.0911200082570235	0.993774289496618
Colistin_0.44_T1 - None_0_T1	coaX	GO593_10160	IX87_18290	-0.523669206061137	0.000816234121272252
Colistin_0.44_T1 - None_0_T1	coq7	GO593_18430	IX87_06650	-0.310839876240432	0.65803516496347
Colistin_0.44_T1 - None_0_T1	cptB	GO593_04055	IX87_11990	-0.272996631398951	0.326582899584079
Colistin_0.44_T1 - None_0_T1	cyoA	GO593_18590	IX87_06820	-0.588076732927154	0.22680525146745
Colistin_0.44_T1 - None_0_T1	cyoB	GO593_18595	IX87_06825	-0.499824085614409	0.1319314393611
Colistin_0.44_T1 - None_0_T1	cyoC	GO593_18600	IX87_06830	-0.894569073923827	0.000119095848564342
Colistin_0.44_T1 - None_0_T1	cyoD	GO593_18605	IX87_06835	-0.804528494753468	0.000525794841002536
Colistin_0.44_T1 - None_0_T1	cyoE	GO593_18610	IX87_06840	-0.799415842170306	0.000227639124766968
Colistin_0.44_T1 - None_0_T1	cysS	GO593_13525	IX87_04375	-1.44970146879039	1.20837290856401e-06
Colistin_0.44_T1 - None_0_T1	dapA	GO593_05915	IX87_14145	-2.94743906251901	9.34632019895199e-09
Colistin_0.44_T1 - None_0_T1	dapD	GO593_01845	IX87_09360	-0.126585946626364	0.748753954573314
Colistin_0.44_T1 - None_0_T1	dapE	GO593_03060	IX87_10925	-0.0287051282834807	0.683475048017694
Colistin_0.44_T1 - None_0_T1	dapF	GO593_02140	IX87_09660	-0.0534097054305765	0.979163929889877
Colistin_0.44_T1 - None_0_T1	ddlB	GO593_05500	IX87_13700	0.211289898856642	0.0888679975600355
Colistin_0.44_T1 - None_0_T1	def	GO593_07425	IX87_15415	-0.16488989717739	0.950308999645318
Colistin_0.44_T1 - None_0_T1	der	GO593_09080	IX87_17130	-1.68495206382908	2.9224490641089e-19
Colistin_0.44_T1 - None_0_T1	desA	GO593_01430	IX87_08955	0.0120521435267002	0.964631481463308
Colistin_0.44_T1 - None_0_T1	desB	GO593_01425	IX87_08950	-0.273334587127593	0.855188305372013
Colistin_0.44_T1 - None_0_T1	dfp	GO593_03595	IX87_11520	0.0416816738853971	0.688225249776802
Colistin_0.44_T1 - None_0_T1	dnaA	GO593_06220	IX87_14445	-0.247026477742334	0.875748849405983
Colistin_0.44_T1 - None_0_T1	dnaB	GO593_18630	IX87_06860	-1.78462690473062	1.82368343511e-07
Colistin_0.44_T1 - None_0_T1	dnaE	GO593_14925	IX87_02905	-0.162030816786105	0.738742908592424
Colistin_0.44_T1 - None_0_T1	dnaG	GO593_10380	IX87_18520	-0.373663634522598	0.00269762613257397
Colistin_0.44_T1 - None_0_T1	dnaK	GO593_06350	IX87_14595	-0.691191807605404	0.00140981194538086
Colistin_0.44_T1 - None_0_T1	dnaN	GO593_06215	IX87_14440	-0.0213976048741122	0.597702150436862
