HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_17978	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_19606_RS	Acinetobacter_baumannii_AB30	Acinetobacter_baumannii_AB30_RS
N0.HOG0000000	OG0000000	n0				IX87_20040, IX87_05790, IX87_00540, IX87_03025, IX87_04160, IX87_01075, IX87_05420, IX87_01120, IX87_04080, IX87_05610, IX87_02685, IX87_00485, IX87_03360, IX87_00920, IX87_02455, IX87_02770, IX87_02230, IX87_03195, IX87_05510, IX87_04235, IX87_03205, IX87_00340, IX87_02710, IX87_04250, IX87_01030, IX87_04020, IX87_15535, IX87_19800, IX87_13370, IX87_13355, IX87_12440, IX87_21925, IX87_06175, IX87_15150, IX87_06660, IX87_06410, IX87_16090, IX87_20055, IX87_18305, IX87_20540, IX87_21545, IX87_19600, IX87_13640, IX87_15605, IX87_20550, IX87_17245, IX87_13725, IX87_17490, IX87_07040, IX87_10035, IX87_21490, IX87_20625, IX87_10050, IX87_16590, IX87_19835, IX87_07260, IX87_12520, IX87_09180, IX87_20105, IX87_10805, IX87_17900, IX87_17915, IX87_07110, IX87_20605, IX87_19250, IX87_20245, IX87_13505, IX87_11455, IX87_18060, IX87_09515, IX87_12295, IX87_07020, IX87_07245, IX87_14910	IX87_RS22570, IX87_RS22600, IX87_RS22585, IX87_RS22555, IX87_RS22420, IX87_RS22380, IX87_RS22355, IX87_RS22680, IX87_RS22405, IX87_RS22460, IX87_RS22510, IX87_RS22475, IX87_RS22595, IX87_RS22525, IX87_RS22335, IX87_RS22715, IX87_RS22430, IX87_RS22675, IX87_RS22590, IX87_RS22275, IX87_RS22140, IX87_RS22150, IX87_RS22280, IX87_RS22110, IX87_RS22225, IX87_RS22290, IX87_RS22190, IX87_RS22145, IX87_RS22195, IX87_RS22270, IX87_RS22125, IX87_RS21910, IX87_RS22055, IX87_RS21905, IX87_RS21915, IX87_RS21795, IX87_RS21760, IX87_RS21790, IX87_RS21940, IX87_RS21880, IX87_RS21945, IX87_RS21875, IX87_RS21895, IX87_RS21765
N0.HOG0000001	OG0000001	n0				IX87_19245, IX87_18310, IX87_18065, IX87_17895, IX87_20600, IX87_20620, IX87_19795, IX87_14915, IX87_12445, IX87_11460, IX87_13635, IX87_15600, IX87_05615, IX87_13360, IX87_13365, IX87_12525, IX87_10800, IX87_13500, IX87_17250, IX87_13730, IX87_12300, IX87_10030, IX87_15540, IX87_07265, IX87_07115, IX87_07250, IX87_16595, IX87_12910, IX87_16095, IX87_07045, IX87_10055, IX87_17910, IX87_09185, IX87_15145, IX87_21495, IX87_20535, IX87_20045, IX87_20545, IX87_19605, IX87_19840, IX87_21550, IX87_20060, IX87_20250, IX87_21930	IX87_RS21750, IX87_RS21785, IX87_RS21855, IX87_RS21950, IX87_RS21775, IX87_RS22065, IX87_RS21885, IX87_RS21970, IX87_RS21965, IX87_RS22045, IX87_RS21860, IX87_RS22040, IX87_RS22400, IX87_RS22640, IX87_RS22490, IX87_RS22625, IX87_RS22120, IX87_RS22620, IX87_RS22410, IX87_RS22495, IX87_RS22250, IX87_RS22540, IX87_RS22340, IX87_RS22880, IX87_RS22350, IX87_RS22215, IX87_RS22630, IX87_RS22345, IX87_RS22095, IX87_RS22565, IX87_RS22090, IX87_RS22085
N0.HOG0000002	OG0000002	n0	A1S_0677, A1S_0676			IX87_18040, IX87_21725, IX87_17235, IX87_05385, IX87_02615, IX87_16840, IX87_01810, IX87_08580, IX87_21875, IX87_21975, IX87_21085, IX87_20520, IX87_01280, IX87_11170, IX87_20275, IX87_21855, IX87_07095, IX87_19310, IX87_16820, IX87_14495, IX87_13160, IX87_05555, IX87_15715, IX87_13235, IX87_21090, IX87_07100, IX87_17230, IX87_16835, IX87_14500, IX87_15720, IX87_20270, IX87_02620, IX87_01275, IX87_11175, IX87_01805, IX87_16815, IX87_21850, IX87_21870, IX87_05550, IX87_18045, IX87_08575, IX87_21730, IX87_20515, IX87_19315, IX87_13155, IX87_21980, IX87_05380, IX87_13240	IX87_RS22255, IX87_RS22375, IX87_RS22645, IX87_RS22415, IX87_RS21865, IX87_RS22135, IX87_RS22505, IX87_RS22545, IX87_RS22720, IX87_RS22695, IX87_RS22320
N0.HOG0000003	OG0000003	n1	A1S_1763	GO593_16605	GO593_RS16605	IX87_20260	IX87_RS19880
N0.HOG0000004	OG0000003	n8	A1S_1350	GO593_14160	GO593_RS14160	IX87_03695	IX87_RS03595
N0.HOG0000005	OG0000003	n12	A1S_2647	GO593_02215	GO593_RS02215	IX87_09745	IX87_RS09525
N0.HOG0000006	OG0000003	n16				IX87_07220	IX87_RS07045
N0.HOG0000007	OG0000003	n17	A1S_2396	GO593_01210	GO593_RS01210	IX87_08730	IX87_RS08505
N0.HOG0000008	OG0000004	n1	A1S_0098	GO593_07100	GO593_RS07100	IX87_15080	IX87_RS14765
N0.HOG0000009	OG0000004	n6	A1S_0099	GO593_07105	GO593_RS07105	IX87_15085	IX87_RS14770
N0.HOG0000010	OG0000004	n11	A1S_2633	GO593_02155	GO593_RS02155	IX87_09675	IX87_RS09455
N0.HOG0000011	OG0000004	n15	A1S_3809, A1S_1094	GO593_12350	GO593_RS12350	IX87_05410	IX87_RS05280
N0.HOG0000012	OG0000005	n1	A1S_2763	GO593_02815	GO593_RS02815	IX87_10395	IX87_RS10155
N0.HOG0000013	OG0000005	n6	A1S_1083	GO593_12300	GO593_RS12300	IX87_05475	IX87_RS05340
N0.HOG0000014	OG0000005	n12	A1S_3413	GO593_05865	GO593_RS05865	IX87_14095	IX87_RS13795
N0.HOG0000015	OG0000005	n16	A1S_2449	GO593_01380	GO593_RS01380	IX87_08905	IX87_RS08685
N0.HOG0000016	OG0000006	n1	A1S_1332	GO593_14050	GO593_RS14050	IX87_03790	IX87_RS03690
N0.HOG0000017	OG0000006	n6	A1S_1102	GO593_12410	GO593_RS12410	IX87_05345	IX87_RS05215
N0.HOG0000018	OG0000006	n12	A1S_1797	GO593_17020	GO593_RS17020	IX87_20655, IX87_20425	IX87_RS20270, IX87_RS20045
N0.HOG0000019	OG0000006	n18	A1S_1835	GO593_16825	GO593_RS16825		
N0.HOG0000020	OG0000007	n1	A1S_3264	GO593_05115	GO593_RS05115	IX87_13280	IX87_RS12980
N0.HOG0000021	OG0000007	n6	A1S_0547	GO593_09180	GO593_RS09180	IX87_17240	IX87_RS16910
N0.HOG0000022	OG0000007	n11	A1S_1272	GO593_13785	GO593_RS13785	IX87_04065	IX87_RS03960
N0.HOG0000023	OG0000007	n15	A1S_2082	GO593_18170	GO593_RS18170	IX87_06400	IX87_RS06230
N0.HOG0000024	OG0000008	n1	A1S_3621	GO593_11875	GO593_RS11875	IX87_21995, IX87_05840, IX87_04805	IX87_RS05690, IX87_RS21590, IX87_RS04680
N0.HOG0000025	OG0000008	n9	A1S_3630	GO593_12860, GO593_00455, GO593_13180	GO593_RS12860, GO593_RS00455, GO593_RS13180	IX87_08160, IX87_04455	IX87_RS07960, IX87_RS04330
N0.HOG0000026	OG0000009	n1	A1S_1849, A1S_1891	GO593_17275	GO593_RS17275	IX87_20715, IX87_20910	IX87_RS20330, IX87_RS20520
N0.HOG0000027	OG0000009	n8	A1S_1344	GO593_17080, GO593_14365, GO593_14110	GO593_RS17080, GO593_RS14365, GO593_RS14110	IX87_03505, IX87_03730	IX87_RS03410, IX87_RS03630
N0.HOG0000028	OG0000010	n1	A1S_1081	GO593_12270	GO593_RS12270	IX87_05535	IX87_RS05400
N0.HOG0000029	OG0000010	n7	A1S_1813	GO593_16915	GO593_RS16915		
N0.HOG0000030	OG0000010	n9	A1S_0739	GO593_09855	GO593_RS09855	IX87_17945	IX87_RS17610
N0.HOG0000031	OG0000010	n13	A1S_1256	GO593_13670	GO593_RS13670	IX87_04265	IX87_RS04145
N0.HOG0000032	OG0000011	n1	A1S_1226	GO593_13185	GO593_RS13185	IX87_04450	IX87_RS04325
N0.HOG0000033	OG0000011	n5	A1S_1171	GO593_11880, GO593_12865, GO593_13505	GO593_RS11880, GO593_RS12865, GO593_RS13505	IX87_08155, IX87_04800, IX87_05830	IX87_RS07955, IX87_RS04675, IX87_RS05680
N0.HOG0000034	OG0000012	n1	A1S_1230	GO593_13225	GO593_RS13225	IX87_04415	IX87_RS04290
N0.HOG0000035	OG0000012	n5	A1S_2028	GO593_11730	GO593_RS11730	IX87_05980, IX87_00075, IX87_04930, IX87_08325	IX87_RS00075, IX87_RS05830, IX87_RS04800, IX87_RS08115
