AB19606	AB030	genes	preferred_names
GO593_05510	IX87_13710	murG	murG
GO593_09995	IX87_18125	nuoL	IX87_18125
GO593_13345	IX87_07845	prtR	AIL78543.1
GO593_02035	IX87_09565	lolD	lolD
GO593_06430	IX87_14680	lspA1, lspA2, lspA	lspA
GO593_02025	IX87_09555	unknown	IX87_09555
GO593_09990	IX87_18120	nuoK	nuoK
GO593_01765	IX87_09280	lepB	lepB
GO593_10000	IX87_18130	nuoM	IX87_18130
GO593_07425	IX87_15415	def1, def	IX87_15415
GO593_14925	IX87_02905	dnaE	dnaE
GO593_18590	IX87_06820	cyoA	cyoA
GO593_07355	IX87_15345	atpH	atpH
GO593_03060	IX87_10925	dapE	dapE
GO593_09945	IX87_18075	nuoA	nuoA
GO593_04395	IX87_12345	glyQ	glyQ
GO593_08385	IX87_16440	etfD, fixC, ydiS, ygcN	AIL80140.1
GO593_17705	IX87_21630	lpxD	lpxD
GO593_07410	IX87_15400	tsaC	tsaC
GO593_07680	IX87_15690	lptF	lptF
GO593_17735	IX87_21660	uppS, ispU	uppS
GO593_10025	IX87_18155	fpr	fpr_1
GO593_09480	IX87_17545	tilS	tilS
GO593_17315	IX87_20950	pyrG	pyrG
GO593_02545	IX87_10120	sdhC	sdhC
GO593_15435	IX87_02385	ostA, lptD	AIL77515.1
GO593_10275	IX87_18415	fabD	fabD
GO593_06205	IX87_14430	gyrB	gyrB
GO593_02040	IX87_09570	lolC, lolE	AIL78869.1
GO593_08750	IX87_16810	rpmB	rpmB
GO593_17715	IX87_21640	bamA, opr86	bamA
GO593_10265	IX87_18405	yceD	AIL80506.1
GO593_07690	IX87_15700	gpmI, gpmM, pgm	gpmI
GO593_06155	IX87_14380, IX87_20505	tyrS, tyrZ	IX87_14380, AIL80905.1
GO593_06170	IX87_14395	erpA	erpA
GO593_12900	IX87_04760	epd, gap, gapA	epd
GO593_15950	IX87_19185	lpxB	lpxB
GO593_07955	IX87_15985	rpoB	rpoB
GO593_04150	IX87_12085	rplN	rplN
GO593_08220	IX87_16275	phaD	AIL80107.1
GO593_06435	IX87_14685	ileS	ileS
GO593_07755	IX87_15780	murD	murD
GO593_05490	IX87_13690	ftsA	ftsA
GO593_09960	IX87_18090	nuoE	nuoE
GO593_04610	IX87_12595	rpsP	rpsP
GO593_15560	IX87_02260	rpsA	rpsA
GO593_05405	IX87_13595	prfB	IX87_13595
GO593_05425	IX87_13615	glmM	glmM
GO593_00140	IX87_07360	unknown	AIL78451.1
GO593_06220	IX87_14445	dnaA	dnaA
GO593_00180	IX87_07400	gpsA	gpsA
GO593_10480	IX87_01870	nadE	IX87_01870
GO593_03615	IX87_11540	ispZ, yciB	ispZ
GO593_07290	IX87_15280	unknown	AIL79924.1
GO593_09085	IX87_17135	unknown	AIL80275.1
GO593_03480	IX87_11355	aspS	aspS
GO593_15745	IX87_18970	hscB	hscB
GO593_09690	IX87_17755	rpe	rpe
GO593_11345	IX87_00530	lysS, lysU	lysS
GO593_01635	IX87_09155	cgtA, obgE, obg	cgtA
GO593_00420	IX87_07645	glyA, glyA2, glyA3, glyA1	glyA
GO593_01960	IX87_09480	fbp1, fbp	IX87_09480
GO593_17700	IX87_21625	fabZ	fabZ
GO593_05420	IX87_13610	pdxH	pdxH
GO593_06815	IX87_14820	mviN, murJ, pslK	mviN
GO593_08225	IX87_16280	phaC	mnhC1
GO593_04190	IX87_12125	rplW	IX87_12125
GO593_07345	IX87_15335	atpE	atpE
GO593_10005	IX87_18135	nuoN	AIL80452.1
GO593_12600	IX87_05125	lysC	lysC
GO593_08645	IX87_16705	asd	asd
GO593_01340	IX87_08865	purB	IX87_08865
GO593_00995	IX87_08120	ubiA	ubiA
GO593_09970	IX87_18100	nuoG	nuoG
GO593_15565	IX87_02255	ihfB, himD	ihfB
GO593_04140	IX87_12075	rplE	IX87_12075
GO593_03595	IX87_11520	coaBC, dfp, coaC	coaBC
GO593_13535	IX87_04365	kdsC	kdsC
GO593_03770	IX87_11695	rplM	rplM
GO593_05505	IX87_13705	murC	murC
GO593_04115	IX87_12050	rpsE	IX87_12050
GO593_10160	IX87_18290	coaX	AIL80483.1
GO593_04120	IX87_12055	rplR	rplR
GO593_06215	IX87_14440	dnaN	dnaN
GO593_04810	IX87_12850	ftsL	ftsL
GO593_04345	IX87_12280	hemF	hemF
GO593_05260	IX87_13440	ssb	ssb
GO593_08800	IX87_16890	thyA	thyA
GO593_08230	IX87_16285	phaAB	AIL80109.1
GO593_09080	IX87_17130	der	der
GO593_13310	IX87_06920	fis	fis
GO593_18685	IX87_06920	fis	fis
GO593_02585	IX87_10160	ybeD	ybeD
GO593_04400	IX87_12350	glyS	AIL79376.1
GO593_05430	IX87_13620	guaB	IX87_13620
GO593_15555	IX87_02265	cmk	IX87_02265
GO593_17730	IX87_21655	cdsA	cdsA
GO593_04135	IX87_12070	rpsN	rpsN
GO593_15760	IX87_18985	iscS	IX87_18985
GO593_02490	IX87_10075	trpS	IX87_10075
GO593_04085	IX87_12020	rpsK	rpsK
GO593_10330	IX87_18470	rplY	rplY
GO593_17400	IX87_21035	rpiA	rpiA
GO593_04170	IX87_12105	rpsC	IX87_12105
GO593_06510	IX87_14760	ubiG	ubiG
GO593_04800	IX87_12840	murE	murE
GO593_08190	IX87_16245	nusA	nusA
GO593_18420	IX87_06640	tamA	AIL78322.1
GO593_00115	IX87_07335	tsaD, gcp	tsaD
GO593_04185	IX87_12120	rplB	rplB
GO593_09435	IX87_17505	pheS	pheS
GO593_02060	IX87_09590	serC	serC
GO593_06350	IX87_14595	dnaK	dnaK
GO593_17785	IX87_21705	ispF, ygbB	ispF
GO593_02110	IX87_09640	etfA, fixB, ydiR	AIL78883.1
GO593_02400	IX87_09960	ftsH, hflB	ftsH
GO593_02180	IX87_09700	unknown	IX87_09700
GO593_12465	IX87_05280	hcaR, marR	marR_1
GO593_15425	IX87_02395	fba, gatY, kbaY, fda	IX87_02395
GO593_18305	IX87_06525	lpxH	IX87_06525
GO593_02540	IX87_10115	sdhD	sdhD
GO593_12895	IX87_04765	alaS	IX87_04765
GO593_08305	IX87_16360	rpsO	rpsO
GO593_10585	IX87_01750	minC	minC
GO593_15490	IX87_02330	holB	AIL77504.1
GO593_04055	IX87_11990	sdhE	cptB
GO593_00515	unknown	unknown	unknown
GO593_15125	unknown	unknown	unknown
GO593_02360	IX87_09915	folD	IX87_09915
GO593_15295	IX87_02535	tkt, tktB, tktA	IX87_02535
GO593_09110	IX87_17160	orn	orn
GO593_07945	IX87_15975	rplJ	rplJ
GO593_11930	IX87_05745	ubiH	AIL78154.1
GO593_03110	IX87_10975	proS	AIL79124.1
GO593_09665	IX87_17730	tsaB	tsaB
GO593_10640	IX87_01695	unknown	AIL77388.1
GO593_08370	IX87_16425	lnt	lnt
GO593_03925	IX87_11850	ybeY	ybeY
GO593_02715	IX87_10295	valS	AIL79006.1
GO593_00260	IX87_07480	aroA	aroA
GO593_09440	IX87_17510	pheT	pheT
GO593_00295	IX87_07515	ppnK, nadK	ppnK
GO593_05390	IX87_13580	kdtA, waaA	AIL79601.1
GO593_02630	IX87_10205	serS	serS
GO593_09495	IX87_17560	polA	polA
GO593_12910	IX87_04750	purA	IX87_04750
GO593_01750	IX87_09265	era	IX87_09265
GO593_17740	IX87_21665	frr	frr
GO593_15290	IX87_02540	metK	metK
GO593_10610	IX87_01725	dut	dut
GO593_09385	IX87_17450	thrS	IX87_17450
GO593_07340	IX87_15330	atpB	IX87_15330
GO593_10365	IX87_18505	lolB	lolB
GO593_10380	IX87_18520	dnaG	IX87_18520
GO593_04180	IX87_12115	rpsS	IX87_12115
GO593_09950	IX87_18080	nuoB	nuoB
GO593_13635	IX87_04305	fdxA	fdxA
GO593_07645	IX87_15655	ribD	ribD
GO593_02920	IX87_10765	gatA	gatA
GO593_08075	IX87_16120	pgsA	pgsA
GO593_17940	IX87_21900	accB	accB
GO593_05915	IX87_14145	dapA	IX87_14145
GO593_04650	IX87_12635	ispH, lytB	ispH
GO593_09120	IX87_17170	fabI	AIL80282.1
GO593_01650	IX87_09170	gap	IX87_09170
GO593_05715	IX87_13955	psd	psd
GO593_06240	IX87_14465	oxaA, yidC	yidC
GO593_01065	IX87_08570	folE, folE2, folE1	folE
GO593_00945	IX87_08070	cca	cca
GO593_08210	IX87_16265	phaF	mrpF
GO593_18760	unknown	unknown	unknown
GO593_18520	IX87_06750	prfA	prfA
GO593_07940	IX87_15970	rplA	rplA
GO593_07365	IX87_15355	atpG	atpG
GO593_02915	IX87_10760	gatC	gatC
GO593_17485	IX87_21135	ftsY, flhF	ftsY
GO593_06440	IX87_14690	ribF	IX87_14690
GO593_18595	IX87_06825	cyoB, coxA	IX87_06825
GO593_04340	IX87_12275	ribA	ribA
GO593_06495	IX87_14745	unknown	AIL79820.1
GO593_04130	IX87_12065	rpsH	IX87_12065
GO593_07590	IX87_15590	ppa	IX87_15590
GO593_04145	IX87_12080	rplX	rplX
GO593_08780	IX87_16870	unknown	exbD_4
GO593_01460	IX87_08985	hemL	AIL78755.1
GO593_04125	IX87_12060	rplF	rplF
GO593_10495	IX87_01855	hemJ	IX87_01855
GO593_07925	IX87_15955	secE	secE
GO593_13545	IX87_04355	lptA	lptA
GO593_10560	IX87_01775	ftsK	AIL77404.1
GO593_07360	IX87_15350	atpA	atpA
GO593_10280	IX87_18420	fabG	IX87_18420
GO593_02645	IX87_10220	rpmA	rpmA
GO593_05485	IX87_13685	ftsZ	ftsZ
GO593_09965	IX87_18095	nuoF	IX87_18095
GO593_02925	IX87_10770	gatB	gatB
GO593_06865	IX87_14860	wzx	IX87_14860
GO593_05625	IX87_13845	parE	parE
GO593_04740	IX87_12780	aroB	IX87_12780
GO593_09140	IX87_17190	holA	holA
GO593_10335	IX87_18475	prs	prs
GO593_09985	IX87_18115	nuoJ	nuoJ
GO593_09975	IX87_18105	nuoH	nuoH
GO593_01330	IX87_08855	mnmA, trmU	mnmA
GO593_10415	IX87_01930, IX87_07590	yfhL, fdx1	fdx_1, yfhL
GO593_00870	IX87_07990	rpsB	rpsB
GO593_03340	IX87_11225	folC	AIL79172.1
GO593_18340	IX87_06560	tsaE	tsaE
GO593_10605	IX87_01730	rep	AIL77395.1
GO593_03135	IX87_11000	ygfZ	ygfZ
GO593_07570	IX87_15570	parC	parC
GO593_08775	IX87_16865	unknown	exbB_1
GO593_03265	IX87_11135	unknown	nphR_2
GO593_04165	IX87_12100	rplP	rplP
GO593_17990	IX87_06200	murB	murB
GO593_15460	IX87_02360	spoOJ	parB
GO593_07935	IX87_15965	rplK	rplK
GO593_18020	IX87_06235	dnaX	IX87_06235
GO593_09350	IX87_17415	folK	folK
GO593_10710	IX87_01620	hemB	hemB
GO593_07685	IX87_15695	lptG	AIL80002.1
GO593_01735	IX87_09250	pdxJ	pdxJ
GO593_08195	IX87_16250	infB	infB
GO593_08380	IX87_16435	sirA, tusA	tusA
GO593_02650	IX87_10225	rplU	rplU
GO593_11615	IX87_00220, IX87_08440, IX87_18600	unknown	AIL77108.1, AIL78652.1, AIL80541.1
GO593_10270	IX87_18410	rpmF	rpmF
GO593_09595	IX87_17660	murA	murA
GO593_09360	IX87_17425	panC	IX87_17425
GO593_13215	IX87_04190, IX87_04425	unknown	IX87_04190, IX87_04425
GO593_05480	IX87_13680	lpxC	lpxC
GO593_04195	IX87_12130	rplD	rplD
GO593_18610	IX87_06840	cyoE	cyoE
GO593_10375	IX87_18515	hemA	AIL80524.1
GO593_01975	IX87_09495	unknown	IX87_09495
GO593_04110	IX87_12045	rpmD	rpmD
GO593_10155	IX87_18285	ffh	ffh
GO593_18630	IX87_06860	dnaB	dnaB
GO593_15765	IX87_18990	iscR	IX87_18990
GO593_10500	IX87_01850, IX87_15020	fabB	fabB_1, AIL79874.1
GO593_07015	IX87_01850, IX87_15020	fabB	fabB_1, AIL79874.1
GO593_13540	IX87_04360	lptC	lptC
GO593_05780	IX87_14010	thiL	thiL
GO593_07295	IX87_15285	argS	argS
GO593_18720	IX87_06955	unknown	IX87_06955
GO593_08345	IX87_16400	priA	priA
GO593_18475	IX87_06705	folB	folB
GO593_07840	IX87_15865	hemD	AIL80035.1
GO593_02580	IX87_10155	rpoD	rpoD
GO593_18600	IX87_06830	cyoC, coIII	cyoC
GO593_10510	IX87_01840	rpsL	rpsL
GO593_13525	IX87_04375	cysS	IX87_04375
GO593_01925	IX87_09445	ybgC	ybgC
GO593_18620	IX87_06850	rpsR	rpsR
GO593_10185	IX87_18325	zipA	zipA
GO593_01430	IX87_08955	unknown	IX87_08955
GO593_02530	IX87_10105	sdhB	sdhB
GO593_15205	IX87_02640	unknown	AIL77565.1
GO593_03590	IX87_11515	secF	secF
GO593_08700	IX87_16760	topA	topA
GO593_05495	IX87_13695	ftsQ	IX87_13695
GO593_04335	IX87_12270	dxs	AIL79360.1
GO593_02115	IX87_09645	etfB, fixA, ydiQ	etfB
GO593_18295	IX87_06515	glnS	IX87_06515
GO593_10360	IX87_18500	ispE, ipk	IX87_18500
GO593_04805	IX87_12845	ftsI, pbpC	IX87_12845
GO593_07665	IX87_15675	unknown	AIL79998.1
GO593_05790	IX87_14020	glmU	glmU
GO593_01090	IX87_08605	hemE	AIL78684.1
GO593_18415	IX87_06635	tamB	AIL78321.1
GO593_15740	IX87_18965	hscA	hscA
GO593_17725	IX87_21650	dxr	AIL81121.1
GO593_08405	IX87_16460	hemH	hemH
GO593_10165	IX87_18295	birA	birA
GO593_17835	IX87_21765	unknown	IX87_21765
GO593_08215	IX87_16270	phaE	phaE
GO593_17745	IX87_21670	pyrH	pyrH
GO593_06095	IX87_14320	fmt	IX87_14320
GO593_04070	IX87_12005	rplQ	rplQ
GO593_15485	IX87_02335	kdsB	IX87_02335
GO593_13095	IX87_04580, IX87_19665	antB, benB, hcaF, xylY	cbdB_1, antB
GO593_11470	IX87_00385	adk	IX87_00385
GO593_09980	IX87_18110	nuoI	nuoI
GO593_03875	IX87_11800	pssA	pssA
GO593_09955	IX87_18085	nuoCD, nuoC, nuoD	nuoD
GO593_03765	IX87_11690	pdxA	pdxA
GO593_01880	IX87_09395	unknown	AIL78836.1
GO593_03585	IX87_11510	secD	secD
GO593_02310	IX87_09865	groS, groES	groS
GO593_02305	IX87_09860	groEL, groL	groEL
GO593_08815	IX87_16905	lgt	lgt
GO593_02660	IX87_10240	ispB	IX87_10240
GO593_05760	IX87_13990	unknown	IX87_13990
GO593_00350	IX87_07570	fpr	IX87_07570
GO593_18140	IX87_06370	unknown	IX87_06370
GO593_08145	IX87_16190	coaE	coaE
GO593_17825	IX87_21755	tusD	tusD
GO593_05770	IX87_14000	ribH, ribE	ribH
GO593_06230	IX87_14455	rnpA	rnpA
GO593_07255	IX87_15245	guaA	guaA
GO593_01005	IX87_08130	glnA	glnA
GO593_12335	IX87_05435	unknown	IX87_05435
GO593_07760	IX87_15785	ftsW	ftsW
GO593_13550	IX87_04350	lptB	lptB
GO593_18770	unknown	unknown	unknown
GO593_04205	IX87_12140	rpsJ	rpsJ
GO593_18405	IX87_06625	acnB	IX87_06625
GO593_04600	IX87_12585	trmD	trmD
GO593_11270	IX87_00610	cynT	mtcA2
GO593_09150	IX87_17200	leuS	AIL80288.1
GO593_04790	IX87_12830	mraY	IX87_12830
GO593_13165	IX87_04470	unknown	IX87_04470
GO593_02510	IX87_10095	sucB, odhB, bkdB	sucB
GO593_17310	IX87_20945	kdsA	IX87_20945
GO593_00120	IX87_07340	rpsU	rpsU
GO593_04830	IX87_12870	gltX	IX87_12870
GO593_10410	IX87_01935	coaD	IX87_01935
GO593_02140	IX87_09660	dapF	dapF
GO593_04655	IX87_12640	gmk	IX87_12640
GO593_07930	IX87_15960	nusG	nusG
GO593_16070	IX87_19365	aroC	aroC
GO593_10285	IX87_18425	acpP	acpP
GO593_09460	IX87_17525	rho	rho
GO593_03530	IX87_11425	unknown	gtrOC1
GO593_01795	IX87_09310	tmk	tmk
GO593_10655	IX87_01680	fur	fur
GO593_04595	IX87_12580	rplS	rplS
GO593_13530	IX87_04370	kdsD	kdsD
GO593_02535	IX87_10110	sdhA	IX87_10110
GO593_18615	IX87_06845	rpsF	rpsF
GO593_09390	IX87_17455	infC	infC
GO593_04200	IX87_12135	rplC	rplC
GO593_03345	IX87_11230	accD	accD
GO593_03315	IX87_11200	secA	secA
GO593_15750	IX87_18975	iscA	iscA
GO593_04100	IX87_12035	secY	secY
GO593_08615	IX87_16675	infA	infA
GO593_03775	IX87_11700	rpsI	rpsI
GO593_18430	IX87_06650	unknown	coq7
GO593_08310	IX87_16365	pnp	pnp
GO593_04175	IX87_12110	rplV	rplV
GO593_15415	IX87_02405	pgk	pgk
GO593_04235	IX87_12170	yihA	IX87_12170
GO593_07960	IX87_15990	rpoC	rpoC
GO593_09410	IX87_17475	rpmI	rpmI
GO593_01845	IX87_09360	dapD	dapD
GO593_09915	IX87_18015	nrdA, nrdJa	nrdA
GO593_00210	IX87_07430	rpoH	rpoH
GO593_17290	IX87_20925	ispD, ygbP	IX87_20925
GO593_08265	IX87_16320	ubiE	ubiE
GO593_09065	IX87_17115	hisS	AIL80271.1
GO593_13220	IX87_04420	unknown	IX87_04420
GO593_07655	IX87_15665	ribE, ribC	IX87_15665
GO593_02640	IX87_10215	lolA	lolA
GO593_17870	IX87_21800	moaE	moaE
GO593_04255	IX87_12190	plsB	plsB
GO593_15735	IX87_18960	fdx, fdx2	fdx
