HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_AB030	Acinetobacter_baumannii_AB5075_UW	Acinetobacter_baumannii_ATCC_17978	Escherichia_coli_BW25113	Escherichia_coli_MG1655	Pseudomonas_aeruginosa_PAO1
N0.HOG0000000	OG0000000	n0		IX87_17915, IX87_04080, IX87_13725, IX87_05610, IX87_10035, IX87_12440, IX87_00340, IX87_06175, IX87_12520, IX87_20105, IX87_14910, IX87_07110, IX87_07020, IX87_02770, IX87_02455, IX87_02710, IX87_16090, IX87_04250, IX87_21490, IX87_21925, IX87_17245, IX87_15535, IX87_20040, IX87_19250, IX87_07245, IX87_20550, IX87_03195, IX87_17900, IX87_10050, IX87_09515, IX87_00540, IX87_05790, IX87_00485, IX87_13355, IX87_01075, IX87_20055, IX87_17490, IX87_01120, IX87_06660, IX87_21545, IX87_13505, IX87_04020, IX87_11455, IX87_09180, IX87_13370, IX87_04160, IX87_02685, IX87_18060, IX87_19835, IX87_03360, IX87_15605, IX87_13640, IX87_18305, IX87_03205, IX87_03025, IX87_19600, IX87_20245, IX87_05510, IX87_06410, IX87_07260, IX87_07040, IX87_16590, IX87_02230, IX87_12295, IX87_20540, IX87_05420, IX87_20605, IX87_10805, IX87_04235, IX87_20625, IX87_01030, IX87_00920, IX87_15150, IX87_19800					
N0.HOG0000001	OG0000001	n1					BW25113_1695, BW25113_0039	b1695, b0039	
N0.HOG0000002	OG0000001	n5	GO593_14460	IX87_03410	ABUW_2452	HKO16_06940			PA2015
N0.HOG0000003	OG0000001	n12	GO593_14330, GO593_14385	IX87_03555, IX87_03485	ABUW_2478, ABUW_2467				PA1631
N0.HOG0000004	OG0000001	n18		IX87_20635					PA4979
N0.HOG0000005	OG0000001	n20	GO593_07130	IX87_15110	ABUW_3780	HKO16_18475			PA2552
N0.HOG0000006	OG0000001	n24		IX87_06730	ABUW_1573	HKO16_11445			PA0746
N0.HOG0000007	OG0000001	n30	GO593_04060	IX87_11995	ABUW_0434	HKO16_16080			PA4435
N0.HOG0000008	OG0000001	n34	GO593_00275, GO593_12440	IX87_07495, IX87_05305	ABUW_1363, ABUW_2781	HKO16_12120, HKO16_05405			PA1187
N0.HOG0000009	OG0000001	n42	GO593_03830	IX87_11755	ABUW_0481	HKO16_15850			PA1535
