operon	strand	tss	condensed_name	Pathways	operon_genes	operon_AB19606	operon_AB030	Essentials in operon	total_size
TU286Y-2573	-	18317	tsaD	Other	tsaD	GO593_00115	IX87_07335	1	1
TU286Y-16	+	18462	rpsU	Ribosome	rpsU	GO593_00120	IX87_07340	1	2
TU286Y-18	-	22447	GO593_00140	Other	GO593_00140	GO593_00140	IX87_07360	1	2
TU286Y-22	-	30997	gpsA	Other	gpsA	GO593_00180	IX87_07400	1	2
TU286Y-26	+	34449	rpoH	Other	rpoH	GO593_00210	IX87_07430	1	1
TU286Y-33	-	44775	aroA	Other	aroA	GO593_00260	IX87_07480	1	1
TU286Y-37	-	52695	ppnK	Other	ppnK	GO593_00295	IX87_07515	1	2
TU286Y-2565	+	63864	fpr	Other	fpr	GO593_00350	IX87_07570	1	1
TU286Y-2563	-	81222	glyA	Other	glyA	GO593_00420	IX87_07645	1	1
TU286Y-2560	+	98898	GO593_00515	Other	GO593_00515	GO593_00515	unknown	1	1
TU286Y-85	-	142918	tsf	Other	tsf	GO593_00865	IX87_07985	1	1
TU286Y-86	-	143808	rpsB	Ribosome	rpsB	GO593_00870	IX87_07990	1	1
TU286Y-98	+	164804	cca	Other	cca	GO593_00945	IX87_08070	1	1
TU286Y-105	-	172666	ubiA	Other	ubiA	GO593_00995	IX87_08120	1	2
TU286Y-106	-	174707	glnA	Other	glnA	GO593_01005	IX87_08130	1	1
TU286Y-112	+	193335	folE	Other	folE	GO593_01065	IX87_08570	1	1
TU286Y-116	-	199716	hemE	Other	hemE	GO593_01090	IX87_08605	1	2
TU286Y-128	-	239358	efp	Other	efp	GO593_01245	IX87_08770	1	1
TU286Y-140	+	257655	mnmA	Other	mnmA	GO593_01330	IX87_08855	1	3
TU286Y-141	+	259591	purB	Other	purB	GO593_01340	IX87_08865	1	1
TU286Y-152	-	284272	desAB	Other	desA, desB	GO593_01430, GO593_01425	IX87_08955, IX87_08950	2	2
TU286Y-158	-	292166	hemL	Other	hemL	GO593_01460	IX87_08985	1	1
TU286Y-159	-	292820	thiE	Other	thiE	GO593_01465	IX87_08990	1	1
TU286Y-179	-	332511	cgtA	Other	cgtA	GO593_01635	IX87_09155	1	2
TU286Y-181	-	335703	gap	Other	gap	GO593_01650	IX87_09170	1	1
TU286Y-193	-	354575	era-pdxJ	Other	era, pdxJ	GO593_01750, GO593_01735	IX87_09265, IX87_09250	2	6
TU286Y-194	-	356476	lepB	Other	lepB	GO593_01765	IX87_09280	1	3
TU286Y-198	-	363569	tmk	Other	tmk	GO593_01795	IX87_09310	1	3
TU286Y-202	+	372370	dapD	Other	dapD	GO593_01845	IX87_09360	1	1
TU286Y-2532	-	377778	nadM	Other	nadM	GO593_01880	IX87_09395	1	1
TU286Y-212	+	389579	ybgC	Other	ybgC	GO593_01925	IX87_09445	1	6
TU286Y-213	+	394958	fbp	Other	fbp	GO593_01960	IX87_09480	1	1
TU286Y-215	+	397526	GO593_01975	Other	GO593_01975	GO593_01975	IX87_09495	1	3
TU286Y-2529	+	408731	lpxL	LOS	lpxL	GO593_02025	IX87_09555	1	1
TU286Y-221	-	414099	lolFD	Other	lolF, lolD	GO593_02040, GO593_02035	IX87_09570, IX87_09565	2	2
TU286Y-2528	-	418266	serC	Other	serC	GO593_02060	IX87_09590	1	1
TU286Y-227	-	430329	gyrA	Other	gyrA	GO593_02105	IX87_09635	1	1
TU286Y-228	-	432395	etfBA	Other	etfB, etfA	GO593_02115, GO593_02110	IX87_09645, IX87_09640	2	2
TU286Y-231	-	437006	dapF	Other	dapF	GO593_02140	IX87_09660	1	3
TU286Y-236	-	445588	GO593_02180	Other	GO593_02180	GO593_02180	IX87_09700	1	1
TU286Y-250	-	478659	groEL	Other	groEL	GO593_02305	IX87_09860	1	1
TU286Y-251	-	479008	groS	Other	groS	GO593_02310	IX87_09865	1	1
TU286Y-258	-	500533	folD	Other	folD	GO593_02360	IX87_09915	1	1
TU286Y-264	-	506748	ftsH	Other	ftsH	GO593_02400	IX87_09960	1	1
TU286Y-2512	+	543292	trpS	tRNA Ligase	trpS	GO593_02490	IX87_10075	1	1
TU286Y-276	-	549633	sucB	Other	sucB	GO593_02510	IX87_10095	1	3
TU286Y-278	-	556383	sdhCDAB	Ox Phos	sdhC, sdhD, sdhA, sdhB	GO593_02545, GO593_02540, GO593_02535, GO593_02530	IX87_10120, IX87_10115, IX87_10110, IX87_10105	4	4
TU286Y-281	+	561497	rpoD	Other	rpoD	GO593_02580	IX87_10155	1	1
TU286Y-282	+	563481	ybeD	Other	ybeD	GO593_02585	IX87_10160	1	1
TU286Y-283	+	563952	lipB	Other	lipB	GO593_02590	IX87_10165	1	1
TU286Y-288	-	572466	serS	tRNA Ligase	serS	GO593_02630	IX87_10205	1	1
TU286Y-290	-	574196	lolA	Other	lolA	GO593_02640	IX87_10215	1	1
TU286Y-291	-	575024	rplU-rpmA	Ribosome	rplU, rpmA	GO593_02650, GO593_02645	IX87_10225, IX87_10220	2	2
TU286Y-293	+	575467	ispB	Other	ispB	GO593_02660	IX87_10240	1	2
TU286Y-2505	+	588342	valS	tRNA Ligase	valS	GO593_02715	IX87_10295	1	1
TU286Y-327	+	630680	gatCAB	Other	gatC, gatA, gatB	GO593_02915, GO593_02920, GO593_02925	IX87_10760, IX87_10765, IX87_10770	3	3
TU286Y-346	+	655978	dapE	Other	dapE	GO593_03060	IX87_10925	1	1
TU286Y-353	+	671041	proS	tRNA Ligase	proS	GO593_03110	IX87_10975	1	1
TU286Y-358	+	674964	ygfZ	Other	ygfZ	GO593_03135	IX87_11000	1	1
