HOG	AB19606	AB030	genes	STRING_names	gene_orthologs	unique_name	citation
N0.HOG0000002	GO593_14460	IX87_03410					
N0.HOG0000003	GO593_14330	IX87_03555					
N0.HOG0000003	GO593_14330	IX87_03485					
N0.HOG0000003	GO593_14385	IX87_03555					
N0.HOG0000003	GO593_14385	IX87_03485					
N0.HOG0000005	GO593_07130	IX87_15110					
N0.HOG0000007	GO593_04060	IX87_11995					
N0.HOG0000008	GO593_00275	IX87_07495					
N0.HOG0000008	GO593_00275	IX87_05305					
N0.HOG0000008	GO593_12440	IX87_07495					
N0.HOG0000008	GO593_12440	IX87_05305					
N0.HOG0000009	GO593_03830	IX87_11755					
N0.HOG0000012	GO593_18825						
N0.HOG0000013	GO593_02760	IX87_10335					
N0.HOG0000013	GO593_02760	IX87_07545					
N0.HOG0000013	GO593_00325	IX87_10335					
N0.HOG0000013	GO593_00325	IX87_07545					
N0.HOG0000014	GO593_13195	IX87_04440					
N0.HOG0000015	GO593_00200	IX87_07420					
N0.HOG0000017	GO593_07700	IX87_15710					
N0.HOG0000019	GO593_14435	IX87_03435					
N0.HOG0000022	GO593_05865	IX87_14095					
N0.HOG0000022	GO593_05865	IX87_08905					
N0.HOG0000022	GO593_01380	IX87_14095					
N0.HOG0000022	GO593_01380	IX87_08905					
N0.HOG0000023	GO593_12300	IX87_05475					
N0.HOG0000023	GO593_12300	IX87_10395					
N0.HOG0000023	GO593_02815	IX87_05475					
N0.HOG0000023	GO593_02815	IX87_10395					
N0.HOG0000024	GO593_07135	IX87_15115					
N0.HOG0000025	GO593_14095	IX87_03745					
N0.HOG0000025	GO593_14095	IX87_03490					
N0.HOG0000025	GO593_14380	IX87_03745					
N0.HOG0000025	GO593_14380	IX87_03490					
N0.HOG0000026	GO593_09175	IX87_17225					
N0.HOG0000028	GO593_03430	IX87_11315					
N0.HOG0000028	GO593_03430	IX87_03450					
N0.HOG0000028	GO593_14420	IX87_11315					
N0.HOG0000028	GO593_14420	IX87_03450					
N0.HOG0000029	GO593_04360	IX87_12305					
N0.HOG0000030	GO593_03435	IX87_11320					
N0.HOG0000032	GO593_14110	IX87_03730					
N0.HOG0000032	GO593_14110	IX87_03505					
N0.HOG0000032	GO593_14365	IX87_03730					
N0.HOG0000032	GO593_14365	IX87_03505					
N0.HOG0000033	GO593_17275	IX87_20910					
N0.HOG0000033	GO593_17275	IX87_20715					
N0.HOG0000033	GO593_17080	IX87_20910					
N0.HOG0000033	GO593_17080	IX87_20715					
N0.HOG0000034	GO593_16960						
N0.HOG0000035	GO593_16250	IX87_19545					
N0.HOG0000037	GO593_15360	IX87_02470					
N0.HOG0000037	GO593_15360	IX87_10695					
N0.HOG0000037	GO593_02855	IX87_02470					
N0.HOG0000037	GO593_02855	IX87_10695					
N0.HOG0000038	GO593_05555	IX87_13780					
N0.HOG0000039	GO593_14050	IX87_03790					
N0.HOG0000039	GO593_14050	IX87_05345					
N0.HOG0000039	GO593_14050	IX87_20425					
N0.HOG0000039	GO593_14050	IX87_20655					
N0.HOG0000039	GO593_12410	IX87_03790					
N0.HOG0000039	GO593_12410	IX87_05345					
N0.HOG0000039	GO593_12410	IX87_20425					
N0.HOG0000039	GO593_12410	IX87_20655					
N0.HOG0000039	GO593_17020	IX87_03790					
N0.HOG0000039	GO593_17020	IX87_05345					
N0.HOG0000039	GO593_17020	IX87_20425					
N0.HOG0000039	GO593_17020	IX87_20655					
N0.HOG0000039	GO593_16825	IX87_03790					
N0.HOG0000039	GO593_16825	IX87_05345					
N0.HOG0000039	GO593_16825	IX87_20425					
N0.HOG0000039	GO593_16825	IX87_20655					
N0.HOG0000040	GO593_16270	IX87_19565					
N0.HOG0000040	GO593_16270	IX87_20920					
N0.HOG0000040	GO593_16270	IX87_20705					
N0.HOG0000040	GO593_16270	IX87_03475					
N0.HOG0000040	GO593_17285	IX87_19565					
N0.HOG0000040	GO593_17285	IX87_20920					
N0.HOG0000040	GO593_17285	IX87_20705					
N0.HOG0000040	GO593_17285	IX87_03475					
N0.HOG0000040	GO593_17070	IX87_19565					
N0.HOG0000040	GO593_17070	IX87_20920					
N0.HOG0000040	GO593_17070	IX87_20705					
N0.HOG0000040	GO593_17070	IX87_03475					
N0.HOG0000040	GO593_14395	IX87_19565					
N0.HOG0000040	GO593_14395	IX87_20920					
N0.HOG0000040	GO593_14395	IX87_20705					
N0.HOG0000040	GO593_14395	IX87_03475					
N0.HOG0000041	GO593_16505	IX87_02625					
N0.HOG0000041	GO593_15220	IX87_02625					
N0.HOG0000044	GO593_01210	IX87_08730					
N0.HOG0000044	GO593_01210	IX87_09745					
N0.HOG0000044	GO593_01210	IX87_20260					
N0.HOG0000044	GO593_01210	IX87_07220					
N0.HOG0000044	GO593_01210	IX87_03695					
N0.HOG0000044	GO593_02215	IX87_08730					
N0.HOG0000044	GO593_02215	IX87_09745					
N0.HOG0000044	GO593_02215	IX87_20260					
N0.HOG0000044	GO593_02215	IX87_07220					
N0.HOG0000044	GO593_02215	IX87_03695					
N0.HOG0000044	GO593_16605	IX87_08730					
N0.HOG0000044	GO593_16605	IX87_09745					
N0.HOG0000044	GO593_16605	IX87_20260					
N0.HOG0000044	GO593_16605	IX87_07220					
N0.HOG0000044	GO593_16605	IX87_03695					
N0.HOG0000044	GO593_14160	IX87_08730					
N0.HOG0000044	GO593_14160	IX87_09745					
N0.HOG0000044	GO593_14160	IX87_20260					
N0.HOG0000044	GO593_14160	IX87_07220					
N0.HOG0000044	GO593_14160	IX87_03695					
N0.HOG0000045	GO593_18105	IX87_06325					
N0.HOG0000045	GO593_18105	IX87_10005					
N0.HOG0000045	GO593_18105	IX87_21520					
N0.HOG0000045	GO593_02445	IX87_06325					
N0.HOG0000045	GO593_02445	IX87_10005					
N0.HOG0000045	GO593_02445	IX87_21520					
N0.HOG0000045	GO593_17600	IX87_06325					
N0.HOG0000045	GO593_17600	IX87_10005					
N0.HOG0000045	GO593_17600	IX87_21520					
N0.HOG0000046	GO593_12075	IX87_10405					
N0.HOG0000047	GO593_10740	IX87_08145					
N0.HOG0000047	GO593_10740	IX87_01940					
N0.HOG0000047	GO593_06580	IX87_08145					
N0.HOG0000047	GO593_06580	IX87_01940					
N0.HOG0000048	GO593_10465	IX87_01885					
N0.HOG0000049	GO593_17120	IX87_20750					
N0.HOG0000049	GO593_17120	IX87_05270					
N0.HOG0000049	GO593_12475	IX87_20750					
N0.HOG0000049	GO593_12475	IX87_05270					
N0.HOG0000051	GO593_12305	IX87_05470					
N0.HOG0000055	GO593_02605	IX87_10180					
N0.HOG0000056	GO593_12310	IX87_05465					
N0.HOG0000057	GO593_14715	IX87_03130					
N0.HOG0000058	GO593_14820						
N0.HOG0000059	GO593_16205	IX87_19500					
N0.HOG0000063	GO593_09180	IX87_17240					
N0.HOG0000063	GO593_09180	IX87_13280					
N0.HOG0000063	GO593_09180	IX87_04065					
N0.HOG0000063	GO593_09180	IX87_06400					
N0.HOG0000063	GO593_05115	IX87_17240					
N0.HOG0000063	GO593_05115	IX87_13280					
N0.HOG0000063	GO593_05115	IX87_04065					
N0.HOG0000063	GO593_05115	IX87_06400					
N0.HOG0000063	GO593_13785	IX87_17240					
N0.HOG0000063	GO593_13785	IX87_13280					
N0.HOG0000063	GO593_13785	IX87_04065					
N0.HOG0000063	GO593_13785	IX87_06400					
N0.HOG0000063	GO593_18170	IX87_17240					
N0.HOG0000063	GO593_18170	IX87_13280					
N0.HOG0000063	GO593_18170	IX87_04065					
N0.HOG0000063	GO593_18170	IX87_06400					
N0.HOG0000064	GO593_10460	IX87_01890					
N0.HOG0000064	GO593_10460	IX87_13405					
N0.HOG0000064	GO593_10460	IX87_20455					
N0.HOG0000064	GO593_10460	IX87_03625					
N0.HOG0000064	GO593_05190	IX87_01890					
N0.HOG0000064	GO593_05190	IX87_13405					
N0.HOG0000064	GO593_05190	IX87_20455					
N0.HOG0000064	GO593_05190	IX87_03625					
N0.HOG0000064	GO593_14260	IX87_01890					
N0.HOG0000064	GO593_14260	IX87_13405					
N0.HOG0000064	GO593_14260	IX87_20455					
N0.HOG0000064	GO593_14260	IX87_03625					
N0.HOG0000065	GO593_18635	IX87_06865					
N0.HOG0000066	GO593_07090	IX87_15070					
N0.HOG0000067	GO593_12270	IX87_05535					
N0.HOG0000067	GO593_12270	IX87_04265					
N0.HOG0000067	GO593_12270	IX87_17945					
N0.HOG0000067	GO593_13670	IX87_05535					
N0.HOG0000067	GO593_13670	IX87_04265					
N0.HOG0000067	GO593_13670	IX87_17945					
N0.HOG0000067	GO593_16915	IX87_05535					
N0.HOG0000067	GO593_16915	IX87_04265					
N0.HOG0000067	GO593_16915	IX87_17945					
N0.HOG0000067	GO593_09855	IX87_05535					
N0.HOG0000067	GO593_09855	IX87_04265					
N0.HOG0000067	GO593_09855	IX87_17945					
N0.HOG0000068	GO593_11165	IX87_00720					
N0.HOG0000069	GO593_12885	IX87_21950					
N0.HOG0000069	GO593_12885	IX87_04785					
N0.HOG0000069	GO593_12885	IX87_01105					
N0.HOG0000069	GO593_12885	IX87_03300					
N0.HOG0000069	GO593_14555	IX87_21950					
N0.HOG0000069	GO593_14555	IX87_04785					
N0.HOG0000069	GO593_14555	IX87_01105					
N0.HOG0000069	GO593_14555	IX87_03300					
N0.HOG0000071	GO593_16355	IX87_19660					
N0.HOG0000072	GO593_13090	IX87_04585					
N0.HOG0000073	GO593_11875	IX87_21995					
N0.HOG0000073	GO593_11875	IX87_04805					
N0.HOG0000073	GO593_11875	IX87_05840					
N0.HOG0000073	GO593_11875	IX87_08160					
N0.HOG0000073	GO593_11875	IX87_04455					
N0.HOG0000073	GO593_00455	IX87_21995					
N0.HOG0000073	GO593_00455	IX87_04805					
N0.HOG0000073	GO593_00455	IX87_05840					
N0.HOG0000073	GO593_00455	IX87_08160					
N0.HOG0000073	GO593_00455	IX87_04455					
N0.HOG0000073	GO593_12860	IX87_21995					
N0.HOG0000073	GO593_12860	IX87_04805					
N0.HOG0000073	GO593_12860	IX87_05840					
N0.HOG0000073	GO593_12860	IX87_08160					
N0.HOG0000073	GO593_12860	IX87_04455					
N0.HOG0000073	GO593_13180	IX87_21995					
N0.HOG0000073	GO593_13180	IX87_04805					
N0.HOG0000073	GO593_13180	IX87_05840					
N0.HOG0000073	GO593_13180	IX87_08160					
N0.HOG0000073	GO593_13180	IX87_04455					
N0.HOG0000074	GO593_07100	IX87_15080					
N0.HOG0000074	GO593_07100	IX87_15085					
N0.HOG0000074	GO593_07100	IX87_09675					
N0.HOG0000074	GO593_07105	IX87_15080					
N0.HOG0000074	GO593_07105	IX87_15085					
N0.HOG0000074	GO593_07105	IX87_09675					
N0.HOG0000074	GO593_02155	IX87_15080					
N0.HOG0000074	GO593_02155	IX87_15085					
N0.HOG0000074	GO593_02155	IX87_09675					
N0.HOG0000075	GO593_02680	IX87_10260					
N0.HOG0000077	GO593_02830	IX87_10670					
N0.HOG0000080	GO593_04465	IX87_12425					
N0.HOG0000080	GO593_04465	IX87_05430					
N0.HOG0000080	GO593_12340	IX87_12425					
N0.HOG0000080	GO593_12340	IX87_05430					
N0.HOG0000081	GO593_18300	IX87_06520					
N0.HOG0000082	GO593_06385	IX87_14635					
N0.HOG0000083	GO593_07525	IX87_15515					
N0.HOG0000084	GO593_07095	IX87_15075					
N0.HOG0000085	GO593_10525	IX87_15945					
N0.HOG0000085	GO593_10525	IX87_01825					
N0.HOG0000085	GO593_07915	IX87_15945					
N0.HOG0000085	GO593_07915	IX87_01825					
N0.HOG0000086	GO593_13665	IX87_04270					
N0.HOG0000086	GO593_13665	IX87_16725					
N0.HOG0000086	GO593_08665	IX87_04270					
N0.HOG0000086	GO593_08665	IX87_16725					
N0.HOG0000087	GO593_12865	IX87_05830					
N0.HOG0000087	GO593_12865	IX87_08155					
N0.HOG0000087	GO593_12865	IX87_04800					
N0.HOG0000087	GO593_12865	IX87_04450					
N0.HOG0000087	GO593_12865	IX87_21320					
N0.HOG0000087	GO593_11880	IX87_05830					
N0.HOG0000087	GO593_11880	IX87_08155					
N0.HOG0000087	GO593_11880	IX87_04800					
N0.HOG0000087	GO593_11880	IX87_04450					
N0.HOG0000087	GO593_11880	IX87_21320					
N0.HOG0000087	GO593_13185	IX87_05830					
N0.HOG0000087	GO593_13185	IX87_08155					
N0.HOG0000087	GO593_13185	IX87_04800					
N0.HOG0000087	GO593_13185	IX87_04450					
N0.HOG0000087	GO593_13185	IX87_21320					
N0.HOG0000087	GO593_13505	IX87_05830					
N0.HOG0000087	GO593_13505	IX87_08155					
N0.HOG0000087	GO593_13505	IX87_04800					
N0.HOG0000087	GO593_13505	IX87_04450					
N0.HOG0000087	GO593_13505	IX87_21320					
N0.HOG0000088	GO593_12065	IX87_05595					
N0.HOG0000089	GO593_17345	IX87_20980					
N0.HOG0000090	GO593_15035	IX87_02795					
N0.HOG0000090	GO593_15035	IX87_02800					
N0.HOG0000090	GO593_15030	IX87_02795					
N0.HOG0000090	GO593_15030	IX87_02800					
N0.HOG0000091	GO593_16950	IX87_20065					
N0.HOG0000092	GO593_17085	IX87_20720					
N0.HOG0000092	GO593_17085	IX87_20900					
N0.HOG0000092	GO593_17265	IX87_20720					
N0.HOG0000092	GO593_17265	IX87_20900					
N0.HOG0000095	GO593_00395	IX87_07615					
N0.HOG0000096	GO593_13225	IX87_04415					
N0.HOG0000096	GO593_13225	IX87_04930					
N0.HOG0000096	GO593_13225	IX87_08325					
N0.HOG0000096	GO593_13225	IX87_00075					
N0.HOG0000096	GO593_13225	IX87_05980					
N0.HOG0000096	GO593_11730	IX87_04415					
N0.HOG0000096	GO593_11730	IX87_04930					
N0.HOG0000096	GO593_11730	IX87_08325					
N0.HOG0000096	GO593_11730	IX87_00075					
N0.HOG0000096	GO593_11730	IX87_05980					
N0.HOG0000096	GO593_00600	IX87_04415					
N0.HOG0000096	GO593_00600	IX87_04930					
N0.HOG0000096	GO593_00600	IX87_08325					
N0.HOG0000096	GO593_00600	IX87_00075					
N0.HOG0000096	GO593_00600	IX87_05980					
N0.HOG0000097	GO593_01165	IX87_08680					
N0.HOG0000098	GO593_02675	IX87_10255					
N0.HOG0000099	GO593_02960	IX87_10825					
N0.HOG0000099	GO593_02960	IX87_10365					
N0.HOG0000099	GO593_02785	IX87_10825					
N0.HOG0000099	GO593_02785	IX87_10365					
N0.HOG0000100	GO593_03105	IX87_10970					
N0.HOG0000101	GO593_03715	IX87_11640					
N0.HOG0000102	GO593_05345	IX87_13535					
N0.HOG0000103	GO593_16925	IX87_15575					
N0.HOG0000103	GO593_07575	IX87_15575					
N0.HOG0000104	GO593_08105	IX87_16150					
N0.HOG0000105	GO593_14660	IX87_03185					
N0.HOG0000106	GO593_08485	IX87_16540					
N0.HOG0000107	GO593_09535	IX87_17600					
N0.HOG0000109	GO593_12025	IX87_05650					
N0.HOG0000110	GO593_13115	IX87_04520					
N0.HOG0000111	GO593_13750	IX87_04100					
N0.HOG0000112	GO593_15655	IX87_18880					
N0.HOG0000113	GO593_18130	IX87_06360					
N0.HOG0000113	GO593_18130	IX87_19180					
N0.HOG0000113	GO593_15945	IX87_06360					
N0.HOG0000113	GO593_15945	IX87_19180					
N0.HOG0000114	GO593_18440	IX87_06670					
N0.HOG0000118	GO593_00355	IX87_07575					
N0.HOG0000120	GO593_00380	IX87_07600					
N0.HOG0000122	GO593_00875	IX87_07995					
N0.HOG0000123	GO593_17535	IX87_21185					
N0.HOG0000124	GO593_01135	IX87_08650					
N0.HOG0000124	GO593_01135	IX87_19700					
N0.HOG0000124	GO593_16395	IX87_08650					
N0.HOG0000124	GO593_16395	IX87_19700					
N0.HOG0000125	GO593_01435	IX87_08960					
N0.HOG0000126	GO593_06525	IX87_14775					
N0.HOG0000127	GO593_01810	IX87_09325					
N0.HOG0000127	GO593_01810	IX87_12860					
N0.HOG0000127	GO593_04820	IX87_09325					
N0.HOG0000127	GO593_04820	IX87_12860					
N0.HOG0000128	GO593_02345	IX87_09900					
N0.HOG0000129	GO593_16220	IX87_19515					
N0.HOG0000130	GO593_02625	IX87_10200					
N0.HOG0000131	GO593_03225	IX87_11095					
N0.HOG0000131	GO593_03225	IX87_19550					
N0.HOG0000131	GO593_16255	IX87_11095					
N0.HOG0000131	GO593_16255	IX87_19550					
N0.HOG0000132	GO593_03415	IX87_11300					
N0.HOG0000133	GO593_04415	IX87_12375					
N0.HOG0000135	GO593_05735	IX87_20560					
N0.HOG0000136	GO593_14530	IX87_03325					
N0.HOG0000137	GO593_06470	IX87_14720					
N0.HOG0000138	GO593_07875	IX87_15900					
N0.HOG0000139	GO593_17965	IX87_06165					
N0.HOG0000139	GO593_17965	IX87_17255					
N0.HOG0000139	GO593_12245	IX87_06165					
N0.HOG0000139	GO593_12245	IX87_17255					
N0.HOG0000139	GO593_09185	IX87_06165					
N0.HOG0000139	GO593_09185	IX87_17255					
N0.HOG0000139	GO593_09790	IX87_06165					
N0.HOG0000139	GO593_09790	IX87_17255					
N0.HOG0000140	GO593_09190	IX87_17260					
N0.HOG0000140	GO593_09190	IX87_02705					
N0.HOG0000140	GO593_09190	IX87_06160					
N0.HOG0000140	GO593_15105	IX87_17260					
N0.HOG0000140	GO593_15105	IX87_02705					
N0.HOG0000140	GO593_15105	IX87_06160					
N0.HOG0000140	GO593_17960	IX87_17260					
N0.HOG0000140	GO593_17960	IX87_02705					
N0.HOG0000140	GO593_17960	IX87_06160					
N0.HOG0000141	GO593_14390	IX87_03480					
N0.HOG0000141	GO593_14390	IX87_17845					
N0.HOG0000141	GO593_14390	IX87_03560					
N0.HOG0000141	GO593_09780	IX87_03480					
N0.HOG0000141	GO593_09780	IX87_17845					
N0.HOG0000141	GO593_09780	IX87_03560					
N0.HOG0000141	GO593_14325	IX87_03480					
N0.HOG0000141	GO593_14325	IX87_17845					
N0.HOG0000141	GO593_14325	IX87_03560					
N0.HOG0000142	GO593_09785	IX87_17850					
N0.HOG0000142	GO593_09785	IX87_03550					
N0.HOG0000142	GO593_14335	IX87_17850					
N0.HOG0000142	GO593_14335	IX87_03550					
N0.HOG0000143	GO593_17030	IX87_20665					
N0.HOG0000144	GO593_11195	IX87_00690					
N0.HOG0000145	GO593_14900	IX87_04640					
N0.HOG0000145	GO593_14900	IX87_02930					
N0.HOG0000145	GO593_13035	IX87_04640					
N0.HOG0000145	GO593_13035	IX87_02930					
N0.HOG0000146	GO593_13095	IX87_04580	antB, benB, hcaF, xylY	cbdB_1	benB	cbdB_1	""
N0.HOG0000147	GO593_16360	IX87_19665					
N0.HOG0000148	GO593_13100	IX87_04575					
N0.HOG0000149	GO593_16365	IX87_19670					
N0.HOG0000150	GO593_14060	IX87_03780					
N0.HOG0000151	GO593_18060	IX87_06275					
N0.HOG0000152	GO593_15175	IX87_02670					
N0.HOG0000154	GO593_15780	IX87_19010					
N0.HOG0000155	GO593_17615	IX87_21535					
N0.HOG0000157	GO593_18820						
N0.HOG0000162	GO593_00280	IX87_07500					
N0.HOG0000162	GO593_00280	IX87_06960					
N0.HOG0000162	GO593_18725	IX87_07500					
N0.HOG0000162	GO593_18725	IX87_06960					
N0.HOG0000163	GO593_00370	IX87_07590					
N0.HOG0000163	GO593_00370	IX87_01930					
N0.HOG0000163	GO593_10415	IX87_07590	yfhL, fdx1	fdx_1	yfhL, fdx1	fdx_1	""
N0.HOG0000163	GO593_10415	IX87_01930	yfhL, fdx1	fdx_1	yfhL, fdx1	fdx_1	""
N0.HOG0000164	GO593_00720	IX87_06090					
N0.HOG0000164	GO593_00720	IX87_02165					
N0.HOG0000164	GO593_00720	IX87_01500					
N0.HOG0000164	GO593_12655	IX87_06090					
N0.HOG0000164	GO593_12655	IX87_02165					
N0.HOG0000164	GO593_12655	IX87_01500					
N0.HOG0000165	GO593_16090	IX87_19385					
N0.HOG0000165	GO593_16090	IX87_08025					
N0.HOG0000165	GO593_00900	IX87_19385					
N0.HOG0000165	GO593_00900	IX87_08025					
N0.HOG0000166	GO593_12545	IX87_05180					
N0.HOG0000166	GO593_12545	IX87_08720					
N0.HOG0000166	GO593_01205	IX87_05180					
N0.HOG0000166	GO593_01205	IX87_08720					
N0.HOG0000167	GO593_01315	IX87_08840					
N0.HOG0000168	GO593_01920	IX87_09440					
N0.HOG0000169	GO593_16930	IX87_20110					
N0.HOG0000169	GO593_16930	IX87_05785					
N0.HOG0000169	GO593_16930	IX87_10710					
N0.HOG0000169	GO593_02865	IX87_20110					
N0.HOG0000169	GO593_02865	IX87_05785					
N0.HOG0000169	GO593_02865	IX87_10710					
N0.HOG0000171	GO593_02985	IX87_10850					
N0.HOG0000173	GO593_04520	IX87_12490					
N0.HOG0000173	GO593_04520	IX87_10855					
N0.HOG0000173	GO593_02990	IX87_12490					
N0.HOG0000173	GO593_02990	IX87_10855					
N0.HOG0000174	GO593_03080	IX87_10945					
N0.HOG0000175	GO593_16555	IX87_20145					
N0.HOG0000175	GO593_16555	IX87_20190					
N0.HOG0000175	GO593_16555	IX87_11585					
N0.HOG0000175	GO593_03660	IX87_20145					
N0.HOG0000175	GO593_03660	IX87_20190					
N0.HOG0000175	GO593_03660	IX87_11585					
N0.HOG0000176	GO593_04460	IX87_05425					
N0.HOG0000176	GO593_04460	IX87_12420					
N0.HOG0000177	GO593_04475	IX87_12435					
N0.HOG0000177	GO593_04475	IX87_12890					
N0.HOG0000177	GO593_04845	IX87_12435					
N0.HOG0000177	GO593_04845	IX87_12890					
N0.HOG0000178	GO593_04675	IX87_12655					
N0.HOG0000179	GO593_04725	IX87_12705					
N0.HOG0000180	GO593_05145	IX87_13310					
N0.HOG0000181	GO593_10305	IX87_18445					
N0.HOG0000181	GO593_10305	IX87_13995					
N0.HOG0000181	GO593_05765	IX87_18445					
N0.HOG0000181	GO593_05765	IX87_13995					
N0.HOG0000182	GO593_06275	IX87_14515					
N0.HOG0000183	GO593_10500	IX87_01850	fabB	fabB_1	fabB	fabB_2	""
N0.HOG0000183	GO593_10500	IX87_15020	fabB	fabB_1	fabB	fabB_2	""
N0.HOG0000183	GO593_07015	IX87_01850	fabB	fabB_1	fabB	fabB_1	""
N0.HOG0000183	GO593_07015	IX87_15020	fabB	fabB_1	fabB	fabB_1	""
N0.HOG0000184	GO593_07025	IX87_04175					
N0.HOG0000184	GO593_07025	IX87_05530					
N0.HOG0000184	GO593_07025	IX87_13890					
N0.HOG0000184	GO593_10935	IX87_04175					
N0.HOG0000184	GO593_10935	IX87_05530					
N0.HOG0000184	GO593_10935	IX87_13890					
N0.HOG0000185	GO593_15710	IX87_18935					
N0.HOG0000185	GO593_15710	IX87_15295					
N0.HOG0000185	GO593_07305	IX87_18935					
N0.HOG0000185	GO593_07305	IX87_15295					
N0.HOG0000186	GO593_08385	IX87_16440	etfD, fixC, ydiS, ygcN	AIL80140.1	etfD, fixC, ydiS, ygcN	etfD	""
N0.HOG0000187	GO593_09485	IX87_17550					
N0.HOG0000187	GO593_09485	IX87_04430					
N0.HOG0000187	GO593_13205	IX87_17550					
N0.HOG0000187	GO593_13205	IX87_04430					
N0.HOG0000188	GO593_10020	IX87_18150					
N0.HOG0000190	GO593_10280	IX87_18420	fabG	IX87_18420	fabG	fabG	""
N0.HOG0000192	GO593_10985	IX87_00900					
N0.HOG0000194	GO593_11215	IX87_00665					
N0.HOG0000195	GO593_12395	IX87_05370					
N0.HOG0000196	GO593_12880	IX87_01110					
N0.HOG0000196	GO593_12880	IX87_21955					
N0.HOG0000196	GO593_12880	IX87_04790					
N0.HOG0000196	GO593_12880	IX87_05820					
N0.HOG0000197	GO593_13065	IX87_04610					
N0.HOG0000198	GO593_13795	IX87_21965					
N0.HOG0000198	GO593_13795	IX87_04055					
N0.HOG0000199	GO593_13955	IX87_03890					
N0.HOG0000200	GO593_17200	IX87_20835					
N0.HOG0000200	GO593_17200	IX87_03605					
N0.HOG0000200	GO593_14280	IX87_20835					
N0.HOG0000200	GO593_14280	IX87_03605					
N0.HOG0000201	GO593_17280	IX87_20710					
N0.HOG0000201	GO593_17280	IX87_20915					
N0.HOG0000201	GO593_17280	IX87_03470					
N0.HOG0000201	GO593_17075	IX87_20710					
N0.HOG0000201	GO593_17075	IX87_20915					
N0.HOG0000201	GO593_17075	IX87_03470					
N0.HOG0000201	GO593_14400	IX87_20710					
N0.HOG0000201	GO593_14400	IX87_20915					
N0.HOG0000201	GO593_14400	IX87_03470					
N0.HOG0000202	GO593_14830	IX87_03005					
N0.HOG0000203	GO593_14870	IX87_02960					
N0.HOG0000208	GO593_11870	IX87_08165					
